instrumento,nota,volumen,dura,empieza,termina
-1.0,32,116,0.24816178125,0.0,0.24816178125
-1.0,32,116,0.45036767708333336,0.8823529999999999,1.3327206770833333
-1.0,32,116,0.45955885416666664,1.7647059999999999,2.2242648541666665
-1.0,79,92,0.042892159722222566,3.5294119999999993,3.572304159722222
-1.0,82,102,0.027573531249999395,3.988970854166667,4.016544385416666
-1.0,74,116,0.5055147395833339,3.5294119999999998,4.034926739583334
-1.0,60,74,0.10110294791666696,3.94301496875,4.044117916666667
-1.0,70,116,0.07352941666666624,4.181985572916667,4.255514989583333
-1.0,90,96,0.2941176666666667,3.9705885,4.264706166666667
-1.0,82,122,0.05514706249999968,4.402573822916667,4.457720885416666
-1.0,73,84,0.06433823958333296,4.411765,4.476103239583333
-1.0,60,122,0.08272059374999952,4.393382645833333,4.476103239583333
-1.0,92,106,0.07352941666666712,4.411765,4.485294416666667
-1.0,70,116,0.05514706249999968,4.862132677083333,4.917279739583333
-1.0,73,108,0.07352941666666624,4.8529415,4.926470916666666
-1.0,60,90,0.10110294791666696,4.8345591458333335,4.93566209375
-1.0,82,108,0.03676470833333312,5.312500354166667,5.3492650625
-1.0,92,102,0.07812500520833288,5.294118,5.3722430052083325
-1.0,60,122,0.3125000208333333,5.284926822916667,5.59742684375
-1.0,74,116,0.4319853229166668,5.294118,5.726103322916667
-1.0,81,115,0.07352941666666624,5.7352945,5.808823916666666
-1.0,60,102,0.10110294791666607,5.726103322916667,5.827206270833333
-1.0,82,108,0.03676470833333312,6.167279822916667,6.20404453125
-1.0,76,112,0.09803922222222194,6.176471,6.274510222222222
-1.0,70,116,0.06433823958333296,6.608456322916667,6.6727945625
-1.0,92,116,0.06433823958333296,6.6176475,6.681985739583333
-1.0,60,70,0.11029412500000024,6.580882791666666,6.691176916666667
-1.0,82,108,0.01838235416666656,7.03125046875,7.049632822916666
-1.0,76,117,0.17769609027777822,7.058823999999999,7.236520090277777
-1.0,82,102,0.02757353124999984,7.518382854166667,7.545956385416667
-1.0,75,77,0.10110294791666696,7.5000005,7.601103447916667
-1.0,70,108,0.05514706249999968,7.674632864583334,7.729779927083333
-1.0,82,102,0.05514706249999968,7.8860299375,7.941177
-1.0,83,105,0.055147062500000565,7.941177,7.9963240625
-1.0,60,122,0.0919117708333328,7.922794645833333,8.014706416666666
-1.0,91,108,0.07352941666666624,7.941177,8.014706416666666
-1.0,73,102,0.02757353124999895,8.3823535,8.40992703125
-1.0,70,108,0.07352941666666624,8.373162322916667,8.446691739583333
-1.0,60,70,0.10110294791666696,8.345588791666666,8.446691739583333
-1.0,88,106,0.05208333680555614,8.82353,8.875613336805555
-1.0,60,122,0.16544118749999903,8.814338822916667,8.979780010416667
-1.0,74,116,0.45036767708333336,8.82353,9.273897677083333
-1.0,60,84,0.10110294791666696,9.227941791666666,9.329044739583333
-1.0,81,112,0.07352941666666624,9.2647065,9.338235916666667
-1.0,83,100,0.045955885416666696,9.705883,9.751838885416667
-1.0,61,126,0.1286764791666659,9.669118291666667,9.797794770833333
-1.0,65,76,0.08272059374999952,10.11948596875,10.202206562499999
-1.0,92,108,0.07352941666666801,10.1470595,10.220588916666667
-1.0,82,96,0.01838235416666656,10.569853645833334,10.588236
-1.0,94,96,0.06433823958333384,10.588236,10.652574239583334
-1.0,61,126,0.0827205937500004,10.579044822916666,10.661765416666666
-1.0,74,122,0.4319853229166668,10.588236,11.020221322916667
-1.0,82,96,0.01838235416666656,11.0294125,11.047794854166666
-1.0,60,70,0.0827205937500004,11.011030145833333,11.093750739583333
-1.0,90,96,0.1286764791666677,11.0294125,11.158088979166667
-1.0,70,96,0.06433823958333384,11.204044864583333,11.268383104166666
-1.0,82,108,0.05514706249999968,11.424633114583333,11.479780177083333
-1.0,83,102,0.04595588541666551,11.470589,11.516544885416666
-1.0,60,122,0.0919117708333328,11.452206645833334,11.544118416666667
-1.0,91,90,0.0827205937500004,11.470589,11.55330959375
-1.0,73,102,0.027573531250000727,11.9117655,11.93933903125
-1.0,70,108,0.05514706249999968,11.902574322916667,11.957721385416667
-1.0,60,64,0.10110294791666519,11.865809614583334,11.9669125625
-1.0,82,108,0.045955885416667286,12.343750822916666,12.389706708333334
-1.0,90,90,0.05514706249999968,12.352942,12.4080890625
-1.0,60,122,0.11029412499999935,12.316177291666667,12.426471416666667
-1.0,84,99,0.2573529583333327,12.352942,12.610294958333334
-1.0,70,108,0.07352941666666624,12.7389714375,12.812500854166666
-1.0,60,70,0.0919117708333328,12.757353791666667,12.8492655625
-1.0,93,116,0.07352941666666624,12.7941185,12.867647916666666
-1.0,83,95,0.032169119791666034,13.235295,13.267464119791667
-1.0,71,121,0.07352941666666624,13.226103822916667,13.299633239583333
-1.0,70,102,0.06433823958333384,13.630515614583333,13.694853854166666
-1.0,60,60,0.07352941666666801,13.64889796875,13.722427385416667
-1.0,92,116,0.07352941666666624,13.6764715,13.750000916666666
-1.0,82,108,0.045955885416667286,14.099265645833333,14.14522153125
-1.0,94,96,0.06433823958333384,14.117647999999999,14.181986239583333
-1.0,61,122,0.06433823958333384,14.126839177083333,14.191177416666667
-1.0,82,102,0.01838235416666656,14.540442145833333,14.5588245
-1.0,74,116,0.45955885416666753,14.117647999999999,14.577206854166667
-1.0,60,64,0.06433823958333384,14.522059791666667,14.58639803125
-1.0,90,78,0.0919117708333328,14.5588245,14.650736270833333
-1.0,70,102,0.055147062500001454,14.724265687499999,14.77941275
-1.0,82,108,0.04595588541666551,14.954045114583334,15.000001
-1.0,83,96,0.0413602968750002,15.000001,15.041361296875
-1.0,60,122,0.11029412500000113,14.963236291666666,15.073530416666667
-1.0,91,102,0.07352941666666801,15.000001,15.073530416666667
-1.0,73,102,0.02757353124999895,15.4411775,15.46875103125
-1.0,70,102,0.05514706249999968,15.422795145833334,15.477942208333333
-1.0,82,102,0.027573531250000727,15.845589291666666,15.873162822916667
-1.0,92,105,0.07352941666666712,15.882354,15.955883416666666
-1.0,60,122,0.11948530208333352,15.863971645833333,15.983456947916666
-1.0,74,122,0.45036767708333514,15.882354,16.332721677083335
-1.0,70,102,0.06433823958333207,16.29595696875,16.360295208333334
-1.0,93,122,0.06433823958333207,16.3235305,16.387868739583332
-1.0,82,102,0.018382354166668335,16.773898177083332,16.79228053125
-1.0,73,102,0.0551470624999979,16.764707,16.8198540625
-1.0,61,126,0.11029412499999935,16.73713346875,16.847427593749998
-1.0,94,96,0.08272059374999685,16.764707,16.847427593749998
-1.0,70,84,0.0551470624999979,17.196692322916668,17.251839385416666
-1.0,92,116,0.06433823958333562,17.2058835,17.270221739583334
-1.0,60,60,0.10110294791666519,17.196692322916668,17.297795270833333
-1.0,82,96,0.02757353124999895,17.628677645833335,17.656251177083334
-1.0,94,96,0.06433823958333207,17.64706,17.711398239583332
-1.0,61,122,0.11029412499999935,17.637868822916666,17.748162947916665
-1.0,74,102,0.44117650000000097,17.64706,18.0882365
-1.0,82,62,0.018382354166668335,18.106618854166665,18.125001208333334
-1.0,60,52,0.055147062500001454,18.069854145833332,18.125001208333334
-1.0,90,84,0.10110294791666519,18.0882365,18.189339447916666
-1.0,70,96,0.055147062500001454,18.30882475,18.3639718125
-1.0,73,96,0.018382354166664783,18.529413,18.547795354166666
-1.0,82,96,0.03676470833333312,18.511030645833333,18.547795354166666
-1.0,92,109,0.06893382812499915,18.529413,18.598346828125003
-1.0,60,122,0.10110294791666519,18.511030645833333,18.61213359375
-1.0,71,102,0.03216911979166781,18.9705895,19.002758619791667
-1.0,82,108,0.027573531250002503,19.39338364583333,19.420957177083334
-1.0,92,86,0.06893382812500093,19.411766,19.480699828125
-1.0,60,122,0.10110294791666874,19.39338364583333,19.49448659375
-1.0,74,116,0.44117650000000097,19.411766,19.8529425
-1.0,81,112,0.06433823958333207,19.8529425,19.917280739583333
-1.0,73,108,0.045955885416667286,20.294119,20.340074885416666
-1.0,82,96,0.07352941666666624,20.275736645833334,20.3492660625
-1.0,94,102,0.07352941666666979,20.294119,20.36764841666667
-1.0,61,122,0.09191177083333102,20.284927822916668,20.37683959375
-1.0,70,96,0.06433823958333562,20.726104322916665,20.7904425625
-1.0,92,108,0.06433823958333562,20.7352955,20.799633739583335
-1.0,77,103,0.1286764791666668,21.176472,21.305148479166668
-1.0,70,84,0.07352941666666979,21.54411908333333,21.6176485
-1.0,90,78,0.09191177083333102,21.6176485,21.709560270833332
-1.0,82,90,0.03676470833333312,22.022060291666666,22.058825
-1.0,73,108,0.018382354166668335,22.058825,22.077207354166667
-1.0,60,122,0.07352941666666624,22.049633822916668,22.123163239583334
-1.0,92,96,0.06893382812500093,22.058825,22.127758828125
-1.0,73,96,0.018382354166668335,22.5000015,22.518383854166668
-1.0,70,96,0.06433823958333207,22.47242796875,22.536766208333333
-1.0,82,96,0.018382354166668335,22.931986822916667,22.950369177083335
-1.0,60,122,0.09191177083333457,22.91360446875,23.005516239583333
-1.0,86,105,0.1991421701388892,22.941177999999997,23.140320170138885
-1.0,70,102,0.06433823958333207,23.363972145833333,23.428310385416665
-1.0,93,122,0.07352941666666624,23.3823545,23.455883916666668
-1.0,82,96,0.018382354166664783,23.805148645833334,23.823531
-1.0,83,102,0.06433823958333562,23.823531,23.887869239583335
-1.0,61,126,0.0827205937500004,23.814339822916665,23.897060416666665
-1.0,70,102,0.06433823958333207,24.23713396875,24.301472208333333
-1.0,92,116,0.07352941666666624,24.2647075,24.338236916666666
-1.0,82,90,0.018382354166668335,24.67831046875,24.696692822916667
-1.0,61,116,0.07352941666666624,24.696692822916667,24.770222239583333
-1.0,94,96,0.07352941666666624,24.705884,24.779413416666667
-1.0,82,96,0.027573531250002503,25.110295791666665,25.137869322916668
-1.0,74,116,0.4503676770833316,24.705884,25.156251677083333
-1.0,90,90,0.11029412500000291,25.1470605,25.257354625
-1.0,70,90,0.045955885416667286,25.349266395833332,25.39522228125
-1.0,73,108,0.018382354166668335,25.588237,25.606619354166668
-1.0,82,102,0.04595588541666373,25.569854645833335,25.61581053125
-1.0,94,78,0.06433823958333207,25.588237,25.65257523958333
-1.0,60,122,0.09191177083333102,25.569854645833335,25.661766416666666
-1.0,91,102,0.0827205937500004,25.588237,25.67095759375
-1.0,71,102,0.0551470624999979,26.0294135,26.0845605625
-1.0,90,84,0.03676470833333312,26.47059,26.507354708333335
-1.0,60,122,0.0827205937500004,26.461398822916667,26.544119416666668
-1.0,74,116,0.4319853229166668,26.47059,26.902575322916668
-1.0,93,122,0.0827205937500004,27.352943,27.43566359375
-1.0,61,60,0.02757353124999895,27.748163614583333,27.775737145833332
-1.0,82,84,0.018382354166668335,28.235295999999998,28.253678354166667
-1.0,61,116,0.0551470624999979,28.226104822916668,28.281251885416665
-1.0,94,108,0.06433823958333562,28.235295999999998,28.299634239583334
-1.0,82,116,0.018382354166664783,28.658090145833334,28.6764725
-1.0,74,122,0.45036767708333514,28.235295999999998,28.685663677083333
-1.0,90,90,0.09191177083333457,28.6764725,28.768384270833334
-1.0,70,102,0.045955885416667286,28.86948721875,28.915443104166666
-1.0,82,96,0.02757353124999895,29.080884291666667,29.108457822916666
-1.0,73,102,0.02757353124999895,29.117649,29.14522253125
-1.0,60,122,0.06433823958333562,29.108457822916666,29.1727960625
-1.0,92,109,0.06893382812499915,29.117649,29.186582828124997
-1.0,70,102,0.055147062500001454,29.549634322916667,29.60478138541667
-1.0,73,96,0.0551470624999979,29.5588255,29.6139725625
-1.0,82,108,0.018382354166668335,29.97242846875,29.990810822916668
-1.0,94,102,0.045955885416667286,30.000002,30.045957885416666
-1.0,60,122,0.07352941666666624,29.97242846875,30.045957885416666
-1.0,82,97,0.2435661927083359,30.000002,30.243568192708334
-1.0,70,102,0.045955885416667286,30.404413791666666,30.450369677083334
-1.0,60,54,0.04595588541666373,30.459560854166668,30.50551673958333
-1.0,93,108,0.07352941666666624,30.4411785,30.514707916666666
-1.0,82,96,0.018382354166668335,30.8272079375,30.845590291666667
-1.0,61,116,0.045955885416667286,30.836399114583333,30.882355
-1.0,83,90,0.06433823958333207,30.882355,30.946693239583333
-1.0,70,102,0.055147062500001454,31.2683844375,31.3235315
-1.0,92,116,0.07352941666666624,31.3235315,31.397060916666668
-1.0,82,108,0.02757353124999895,31.7095609375,31.73713446875
-1.0,61,116,0.045955885416667286,31.73713446875,31.783090354166667
-1.0,84,106,0.23437501562499996,31.764708,31.999083015624997
-1.0,71,67,0.022977942708333643,32.187502145833335,32.21048008854167
-1.0,90,84,0.10110294791666519,32.2058845,32.30698744791667
-1.0,70,84,0.02757353124999895,32.389708041666665,32.417281572916664
-1.0,82,66,0.02757353124999895,32.61948746875,32.647061
-1.0,83,102,0.022977942708333643,32.647061,32.67003894270833
-1.0,60,122,0.06433823958333562,32.610296291666664,32.67463453125
-1.0,91,108,0.08272059374999685,32.647061,32.72978159375
-1.0,73,102,0.018382354166668335,33.0882375,33.10661985416667
-1.0,70,102,0.06433823958333562,33.06985514583333,33.134193385416665
-1.0,82,96,0.018382354166668335,33.492649291666666,33.511031645833334
-1.0,60,122,0.06433823958332852,33.483458114583335,33.547796354166664
-1.0,92,96,0.06893382812499738,33.529414,33.598347828125
-1.0,70,102,0.0551470624999979,33.9154434375,33.9705905
-1.0,74,102,0.45955885416666575,33.529414,33.98897285416667
-1.0,93,116,0.07352941666666624,33.9705905,34.044119916666666
-1.0,82,108,0.055147062500005006,34.36581111458333,34.420958177083335
-1.0,73,102,0.02757353124999895,34.411767,34.43934053125
-1.0,61,122,0.06433823958332852,34.37500229166667,34.43934053125
-1.0,94,90,0.055147062500005006,34.411767,34.4669140625
-1.0,70,90,0.06433823958333562,34.816178791666665,34.88051703125
-1.0,92,122,0.06433823958332852,34.8529435,34.91728173958333
-1.0,82,102,0.02757353124999895,35.26654646875,35.29412
-1.0,61,122,0.07352941666666624,35.27573764583333,35.3492670625
-1.0,84,109,0.23897060416666704,35.29412,35.53309060416667
-1.0,82,90,0.01838235416666123,35.716914145833336,35.7352965
-1.0,90,102,0.10110294791667229,35.7352965,35.83639944791667
-1.0,70,90,0.0551470624999979,35.919120041666666,35.974267104166664
-1.0,82,84,0.01838235416666123,36.14889946875,36.167281822916664
-1.0,73,102,0.018382354166668335,36.176473,36.19485535416667
-1.0,60,116,0.08272059375000396,36.139708291666665,36.22242888541667
-1.0,92,105,0.06893382812499738,36.176473,36.245406828125
-1.0,60,52,0.045955885416667286,36.55331126041666,36.59926714583333
-1.0,71,99,0.027573531250002503,36.6176495,36.64522303125
-1.0,82,102,0.045955885416667286,37.03125246875,37.077208354166665
-1.0,92,105,0.06433823958332852,37.058826,37.12316423958333
-1.0,60,116,0.10110294791666519,37.02206129166667,37.12316423958333
-1.0,74,116,0.4227941458333291,37.058826,37.48162014583333
-1.0,70,102,0.07352941666666624,37.463237791666664,37.53676720833333
-1.0,93,122,0.06433823958333562,37.5000025,37.564340739583336
