Instrumento,instrumento,nota,nombre,volumen,dura,empieza,termina
Percussion,-1,32,G#1,116,0.24816178125,0.0,0.24816178125
Percussion,-1,32,G#1,116,0.45036767708333336,0.8823529999999999,1.3327206770833333
Percussion,-1,32,G#1,116,0.45955885416666664,1.7647059999999999,2.2242648541666665
Percussion,-1,61,C#4,62,0.018382354166667003,3.5294119999999998,3.5477943541666668
Percussion,-1,82,A#5,108,0.027573531250000283,3.5294119999999998,3.55698553125
Percussion,-1,94,A#6,108,0.0827205937500004,3.5294119999999998,3.61213259375
Percussion,-1,82,A#5,102,0.027573531249999395,3.988970854166667,4.016544385416666
Percussion,-1,74,D5,116,0.5055147395833339,3.5294119999999998,4.034926739583334
Percussion,-1,60,C4,74,0.10110294791666696,3.94301496875,4.044117916666667
Percussion,-1,70,A#4,116,0.07352941666666624,4.181985572916667,4.255514989583333
Percussion,-1,90,F#6,96,0.2941176666666667,3.9705885,4.264706166666667
Percussion,-1,82,A#5,122,0.05514706249999968,4.402573822916667,4.457720885416666
Percussion,-1,73,C#5,84,0.06433823958333296,4.411765,4.476103239583333
Percussion,-1,60,C4,122,0.08272059374999952,4.393382645833333,4.476103239583333
Percussion,-1,91,G6,116,0.07352941666666712,4.411765,4.485294416666667
Percussion,-1,94,A#6,96,0.07352941666666712,4.411765,4.485294416666667
Percussion,-1,70,A#4,116,0.05514706249999968,4.862132677083333,4.917279739583333
Percussion,-1,73,C#5,108,0.07352941666666624,4.8529415,4.926470916666666
Percussion,-1,60,C4,90,0.10110294791666696,4.8345591458333335,4.93566209375
Percussion,-1,82,A#5,108,0.03676470833333312,5.312500354166667,5.3492650625
Percussion,-1,94,A#6,102,0.06433823958333296,5.294118,5.358456239583333
Percussion,-1,90,F#6,102,0.0919117708333328,5.294118,5.386029770833333
Percussion,-1,60,C4,122,0.3125000208333333,5.284926822916667,5.59742684375
Percussion,-1,74,D5,116,0.4319853229166668,5.294118,5.726103322916667
Percussion,-1,93,A6,122,0.07352941666666624,5.7352945,5.808823916666666
Percussion,-1,70,A#4,108,0.07352941666666624,5.7352945,5.808823916666666
Percussion,-1,60,C4,102,0.10110294791666607,5.726103322916667,5.827206270833333
Percussion,-1,82,A#5,108,0.03676470833333312,6.167279822916667,6.20404453125
Percussion,-1,73,C#5,102,0.0459558854166664,6.176471,6.222426885416667
Percussion,-1,94,A#6,108,0.06433823958333296,6.176471,6.240809239583333
Percussion,-1,61,C#4,126,0.18382354166666648,6.176471,6.360294541666667
Percussion,-1,70,A#4,116,0.06433823958333296,6.608456322916667,6.6727945625
Percussion,-1,92,G#6,116,0.06433823958333296,6.6176475,6.681985739583333
Percussion,-1,60,C4,70,0.11029412500000024,6.580882791666666,6.691176916666667
Percussion,-1,82,A#5,108,0.01838235416666656,7.03125046875,7.049632822916666
Percussion,-1,94,A#6,108,0.045955885416667286,7.0588239999999995,7.104779885416667
Percussion,-1,61,C#4,122,0.0827205937500004,7.0588239999999995,7.14154459375
Percussion,-1,74,D5,122,0.40441179166666696,7.0588239999999995,7.4632357916666665
Percussion,-1,82,A#5,102,0.02757353124999984,7.518382854166667,7.545956385416667
Percussion,-1,60,C4,64,0.0827205937500004,7.5000005,7.58272109375
Percussion,-1,90,F#6,90,0.11948530208333352,7.5000005,7.619485802083333
Percussion,-1,70,A#4,108,0.05514706249999968,7.674632864583334,7.729779927083333
Percussion,-1,82,A#5,102,0.05514706249999968,7.8860299375,7.941177
Percussion,-1,73,C#5,102,0.045955885416667286,7.941177,7.987132885416667
Percussion,-1,94,A#6,108,0.06433823958333384,7.941177,8.005515239583334
Percussion,-1,60,C4,122,0.0919117708333328,7.922794645833333,8.014706416666666
Percussion,-1,91,G6,108,0.07352941666666624,7.941177,8.014706416666666
Percussion,-1,73,C#5,102,0.02757353124999895,8.3823535,8.40992703125
Percussion,-1,70,A#4,108,0.07352941666666624,8.373162322916667,8.446691739583333
Percussion,-1,60,C4,70,0.10110294791666696,8.345588791666666,8.446691739583333
Percussion,-1,94,A#6,102,0.027573531250000727,8.82353,8.85110353125
Percussion,-1,82,A#5,108,0.045955885416667286,8.82353,8.869485885416667
Percussion,-1,90,F#6,108,0.0827205937500004,8.82353,8.90625059375
Percussion,-1,60,C4,122,0.16544118749999903,8.814338822916667,8.979780010416667
Percussion,-1,74,D5,116,0.45036767708333336,8.82353,9.273897677083333
Percussion,-1,60,C4,84,0.10110294791666696,9.227941791666666,9.329044739583333
Percussion,-1,93,A6,122,0.07352941666666624,9.2647065,9.338235916666667
Percussion,-1,70,A#4,102,0.07352941666666624,9.2647065,9.338235916666667
Percussion,-1,82,A#5,96,0.01838235416666656,9.705883,9.724265354166667
Percussion,-1,73,C#5,108,0.05514706249999968,9.705883,9.7610300625
Percussion,-1,94,A#6,96,0.06433823958333384,9.705883,9.770221239583334
Percussion,-1,61,C#4,126,0.1286764791666659,9.669118291666667,9.797794770833333
Percussion,-1,70,A#4,90,0.07352941666666624,10.11948596875,10.193015385416667
Percussion,-1,60,C4,62,0.0919117708333328,10.11948596875,10.211397739583333
Percussion,-1,92,G#6,108,0.07352941666666801,10.1470595,10.220588916666667
Percussion,-1,82,A#5,96,0.01838235416666656,10.569853645833334,10.588236
Percussion,-1,94,A#6,96,0.06433823958333384,10.588236,10.652574239583334
Percussion,-1,61,C#4,126,0.0827205937500004,10.579044822916666,10.661765416666666
Percussion,-1,74,D5,122,0.4319853229166668,10.588236,11.020221322916667
Percussion,-1,82,A#5,96,0.01838235416666656,11.0294125,11.047794854166666
Percussion,-1,60,C4,70,0.0827205937500004,11.011030145833333,11.093750739583333
Percussion,-1,90,F#6,96,0.1286764791666677,11.0294125,11.158088979166667
Percussion,-1,70,A#4,96,0.06433823958333384,11.204044864583333,11.268383104166666
Percussion,-1,82,A#5,108,0.05514706249999968,11.424633114583333,11.479780177083333
Percussion,-1,73,C#5,108,0.02757353124999895,11.470589,11.49816253125
Percussion,-1,94,A#6,96,0.06433823958333207,11.470589,11.534927239583332
Percussion,-1,60,C4,122,0.0919117708333328,11.452206645833334,11.544118416666667
Percussion,-1,91,G6,90,0.0827205937500004,11.470589,11.55330959375
Percussion,-1,73,C#5,102,0.027573531250000727,11.9117655,11.93933903125
Percussion,-1,70,A#4,108,0.05514706249999968,11.902574322916667,11.957721385416667
Percussion,-1,60,C4,64,0.10110294791666519,11.865809614583334,11.9669125625
Percussion,-1,82,A#5,108,0.045955885416667286,12.343750822916666,12.389706708333334
Percussion,-1,90,F#6,90,0.05514706249999968,12.352942,12.4080890625
Percussion,-1,60,C4,122,0.11029412499999935,12.316177291666667,12.426471416666667
Percussion,-1,94,A#6,90,0.07352941666666624,12.352942,12.426471416666667
Percussion,-1,74,D5,108,0.4411764999999992,12.352942,12.7941185
Percussion,-1,70,A#4,108,0.07352941666666624,12.7389714375,12.812500854166666
Percussion,-1,60,C4,70,0.0919117708333328,12.757353791666667,12.8492655625
Percussion,-1,93,A6,116,0.07352941666666624,12.7941185,12.867647916666666
Percussion,-1,94,A#6,74,0.01838235416666656,13.235295,13.253677354166667
Percussion,-1,73,C#5,116,0.04595588541666551,13.235295,13.281250885416666
Percussion,-1,82,A#5,116,0.05514706249999968,13.226103822916667,13.281250885416666
Percussion,-1,61,C#4,126,0.0919117708333328,13.226103822916667,13.31801559375
Percussion,-1,70,A#4,102,0.06433823958333384,13.630515614583333,13.694853854166666
Percussion,-1,60,C4,60,0.07352941666666801,13.64889796875,13.722427385416667
Percussion,-1,92,G#6,116,0.07352941666666624,13.6764715,13.750000916666666
Percussion,-1,82,A#5,108,0.045955885416667286,14.099265645833333,14.14522153125
Percussion,-1,94,A#6,96,0.06433823958333384,14.117647999999999,14.181986239583333
Percussion,-1,61,C#4,122,0.06433823958333384,14.126839177083333,14.191177416666667
Percussion,-1,82,A#5,102,0.01838235416666656,14.540442145833333,14.5588245
Percussion,-1,74,D5,116,0.45955885416666753,14.117647999999999,14.577206854166667
Percussion,-1,60,C4,64,0.06433823958333384,14.522059791666667,14.58639803125
Percussion,-1,90,F#6,78,0.0919117708333328,14.5588245,14.650736270833333
Percussion,-1,70,A#4,102,0.055147062500001454,14.724265687499999,14.77941275
Percussion,-1,82,A#5,108,0.04595588541666551,14.954045114583334,15.000001
Percussion,-1,73,C#5,96,0.01838235416666656,15.000001,15.018383354166666
Percussion,-1,94,A#6,96,0.06433823958333384,15.000001,15.064339239583333
Percussion,-1,60,C4,122,0.11029412500000113,14.963236291666666,15.073530416666667
Percussion,-1,91,G6,102,0.07352941666666801,15.000001,15.073530416666667
Percussion,-1,73,C#5,102,0.02757353124999895,15.4411775,15.46875103125
Percussion,-1,70,A#4,102,0.05514706249999968,15.422795145833334,15.477942208333333
Percussion,-1,82,A#5,102,0.027573531250000727,15.845589291666666,15.873162822916667
Percussion,-1,90,F#6,108,0.06433823958333384,15.882354,15.946692239583333
Percussion,-1,94,A#6,102,0.0827205937500004,15.882354,15.96507459375
Percussion,-1,60,C4,122,0.11948530208333352,15.863971645833333,15.983456947916666
Percussion,-1,74,D5,122,0.45036767708333514,15.882354,16.332721677083335
Percussion,-1,70,A#4,102,0.06433823958333207,16.29595696875,16.360295208333334
Percussion,-1,93,A6,122,0.06433823958333207,16.3235305,16.387868739583332
Percussion,-1,82,A#5,102,0.018382354166668335,16.773898177083332,16.79228053125
Percussion,-1,73,C#5,102,0.0551470624999979,16.764707,16.8198540625
Percussion,-1,61,C#4,126,0.11029412499999935,16.73713346875,16.847427593749998
Percussion,-1,94,A#6,96,0.08272059374999685,16.764707,16.847427593749998
