titulo,tipo,artista,fecha-lanzamiento,generos,id
Celebremos Noche Buena con Sonora Matancera,Album,Sonora Matancera,1961,"latin, pachanga, bolero, bachata, guaracha",88ceadb8-4f4a-47c7-967f-262c0fa2e3dd
La Sufrida,Album,Melida Rodriguez,1969,"latin, bolero, bachata",83a100bd-ed8f-48ee-a86b-5b0425b3437c
Orquesta Ritmo Oriental (Volume III),Album,Orquesta Ritmo Oriental,1975,"latin, bolero, bachata",c2bd076b-8215-41fe-88ec-de1a27af8ed9
Conjunto Los Latinos,Album,Conjunto Los Latinos,1975,"latin, merengue, bolero, bachata, guaracha, son montuno",1afb4297-5a03-43b7-93f8-8c8dd98d501b
A tiro limpio,Album,Conjunto Cristal,1975,"salsa, latin, merengue, bachata, guaracha, guaguancó",d893c3ca-8ff0-43c1-8205-a3fc383ae57b
Luis Segura y su Conjunto,Album,Luis Segura y su Conjunto,1979,"latin, mariachi, bolero, bachata, guajira",61d7a3d3-d7d0-46eb-8812-61a26acb072e
Rumbavana en Santiago,Album,Conjunto Rumbavana,1981,"latin, bolero, bachata",dce85e34-6a08-46fc-8a65-6ab7fcf4051c
El Santiaguero,Album,Adriano Ventura y sus Ritmos Dominicanos,1982,"latin, merengue, bachata",b97f7512-7564-4e97-aa63-d4f3637a651b
Arawe,Album,Daniel Ponce,1987,"jazz, jazz-funk, latin, bachata",65f66280-7c52-406f-a3dd-86bc5ec9fd9d
Agitando,Album,Alfonso Guerrero y su orquesta,1988,"salsa, latin, merengue, bachata",7ca590d0-9a4a-463f-8138-338a407cfcf8
Y sigue el sol,Album,Conjunto Son 14,1988,"latin, bachata, guaguancó",b7fc0d3d-7006-4765-8614-31e4dd6a9760
Bachata rosa,Album,Juan Luis Guerra 4.40,1990,"salsa, latin, merengue, bachata",f6104930-5937-462b-bf55-d0e9665c9cf3
7+1 = Vecinos,Album,Milly,1990,"pop, latin, merengue, bachata",061175f4-ca9e-401d-b456-4486457fa1bf
Cuba Classics 2: Dancing With the Enemy,Album,Various Artists,1991,"latin, rumba, bachata, guaracha, plena, guaguancó, son montuno",9cc58154-412b-41f0-a889-87be0cba8541
El solterito del este y los reyes del este,Album,Tony Berroa,1992,bachata,447cc0d5-a920-4272-8b81-6ad0745359d3
Areíto,Album,Juan Luis Guerra 4.40,1992,"latin, merengue, bachata, latin dance",59ebcefe-82e6-4bbb-b71c-8f5f4fbe2b60
Explosivo,Album,Las Chicas del Can,1992,"latin, merengue, bachata",4c45d1e9-d9db-4358-9658-35e9b05b5641
La batalla,Album,Antony Santos,1992,"latin, merengue, bachata",5e944a58-0d41-4ef4-80ff-4ceedb84a850
La chupadera,Album,Antony Santos,1992,"latin, merengue, bachata",7c018728-2921-49b2-93f5-01df01d779b1
El chiqui chiqui,Album,Tony Santos,1992,bachata,4213cf74-3f93-42b4-8bc0-c49c6f13ccca
Cuba Classics 3: Diablo al infierno,Album,Various Artists,1992,"pop, latin, bachata",dc39884f-5781-4e14-8d7b-39e478af6033
Homenaje al Cibao,Album,Ramon Torres,1993,"latin, bachata",a24ecb29-385a-4604-ad0a-033770a9b7a3
¡Botando chispa!,Album,Las Chicas del Can,1993,"latin, merengue, bachata",4387af4c-389a-4147-a1cc-73254f754fb7
Corazón bonito,Album,Antony Santos,1993,"latin, merengue, bachata",b7d3c742-3801-427d-a99a-8c7d76b002cb
Me voy pa'l pueblo,Album,Los Panchos,1993,"latin, pachanga, bolero, bachata",9f33c6ae-ae1a-42e0-8f2c-65f29be44200
Medicina de amor,Album,Raulín Rodríguez,1994,bachata,6c8ceff3-9a6d-434e-b1a1-690f36a278d6
Grandes éxitos,Album,Juan Luis Guerra y 4.40,1995,"trance, electronic, pop, ambient, jazz, house, rhythm and blues, latin, merengue, bachata, latin dance, folk/country",e0a61e18-e916-4bbd-bfdf-398d327a8a4d
