titulo,tipo,artista,fecha-lanzamiento,generos,id
Se me va la voz,Single,Alejandro Fernández,2009,"pop, latin, bachata",455d9c84-fed5-4ed6-9c35-152206edb9f2
Day 1,Single,Leslie Grace,2012,bachata,64c710a1-306d-464b-a6c4-39762408f563
Propuesta indecente,Single,Romeo Santos,2013,bachata,68f2a489-2b9c-49a3-a660-2c11215df8ba
Loco,Single,Enrique Iglesias,2013,"dance, bachata, pop latino",5a924301-6591-4d0a-b7e0-a6a98372a716
Nadie como tú,Single,Leslie Grace,2014,bachata,588a223c-e421-4476-b590-1a578de8b3bb
Bésame ahora,Single,Jr.,2016,bachata,3a5e40f9-a45b-40cd-8ec2-6ea7d931377c
Almost Like Praying,Single,Lin‐Manuel Miranda,2017,"electronic, latin, reggaeton, hip house, bachata",d0323156-bae1-4128-8578-10a2b2bf1d21
Felices los 4,Single,Dj Khalid,2017,bachata,7e5ac50c-3d84-465a-a573-e8b9e6920094
Acordando o prédio,Single,Luan Santana,2017,bachata,d7703420-1dbe-4a77-8f79-3f56122adb0c
Cásate conmigo (bachata version),Single,DJ Khalid,2018,bachata,a8be7b3e-f545-44b7-809a-46c485cf240e
Lost on You,Single,Dj Khalid,2018,bachata,49ec3c21-98f4-44ff-ba40-360c932d838d
Quién sabe,Single,Natti Natasha,2018,bachata,d6f1227e-d294-4bfa-88aa-b7c4a6f53c07
How Do You Sleep? (bachata version),Single,Tony Pecino,2019,bachata,3023043c-d2fb-4ee2-b44e-8373c2dc0a84
Sola (Bachata Version),Single,Tony Pecino,2019,bachata,842304dd-84d8-40b8-8d28-a19ac1186bf0
Yo Quiero Andar,Single,Genoveva,2019,"latin, reggaeton, bachata",6d271386-28e5-4c5d-8761-38e5c6250fba
Sin Competencia,Single,Genoveva,2019,"latin, bolero, bachata",0a82ca1d-702f-419f-a389-0aa9042f1bbc
Las pulseras del verano (version bachata),Single,Dj Khalid,2019,bachata,4bca8ffe-7b0a-4819-a6fd-45deb955c78d
Don Juan & Cupido,Single,Henry Santos,2019,bachata,76b6cff3-ba8d-43a0-a13b-9e5f7ccb7499
Timidez,Single,Gepe,2020,bachata,25c176be-fbf9-4ac2-aa15-7fcb85725788
Ayer Me Llamó Mi Ex,Single,KHEA,2020,"bachata, trap latino",6bad3ac6-8dc4-4344-a230-97ea29adb4b1
Caramelo (bachata version),Single,DJ Tronky,2020,bachata,e95ee38c-2e14-4541-859a-5944d3061e75
Lonely (bachata version),Single,DJ Tronky,2020,bachata,3742b021-380f-4e67-b8e3-200e19d5a73e
Si tu la quieres (bachata version),Single,Tony Pecino,2020,bachata,7259e7de-7e29-40f2-bd11-ae604491e690
La vacinada,Single,Checco Zalone,2021,bachata,3da3f154-8959-4010-ac74-3e8082939969
Volví,Single,Aventura,2021,"pop, latin pop, reggaeton, bachata, bachatón",fdd84be8-7213-4d52-bcf0-58aec65e8320
Tanga,Single,Chris Paradise,2021,bachata,da2cc25f-a954-483b-a476-94805f450c48
Sin tus besos,Single,Montelier,2021,bachata,d9f5fc81-3b89-4516-8e44-9461209ff0e8
Ángel (Versión Bachata),Single,Luys Bien,2021,"taiwanese, latin pop, tropical, bachata, dominican",253e0215-f27d-405b-9651-56dc9b7700c6
天使 (拉丁版),Single,Luys Bien,2021,"chinese, latin, bachata",174add25-6ca5-4268-be20-c45c6b0e5746
Bachatica,Single,Leslie Grace,2021,bachata,a810653b-e11e-4998-b152-cbabb1d24766
LA FAMA,Single,ROSALÍA,2021,"latin pop, bachata, alternative r&b",fbbea3b4-32ca-434d-856d-b6e908d7d9f7
