cancion,artista,tipo,lanzamiento,fecha-lanzamiento,id
Voy pa' lla,Tony Berroa,Album,El solterito del este y los reyes del este,1992,75649eb7-e9a2-4195-af86-e42971b940b0
Pegao como el coqui,Tony Berroa,Album,El solterito del este y los reyes del este,1992,f444d3a6-276a-418b-9aa8-ddde9d787a3d
La mujer que yo mas quiero,Tony Berroa,Album,El solterito del este y los reyes del este,1992,85fd473e-3f2f-456b-a883-a7106782fd1f
Mi muñequita,Tony Berroa,Album,El solterito del este y los reyes del este,1992,790bdeb8-d26c-4286-84a1-178874661349
Yo se de donde vengo,Tony Berroa,Album,El solterito del este y los reyes del este,1992,5b3a6d4b-c646-423e-a780-cac74f56b830
Amargado por ella,Tony Berroa,Album,El solterito del este y los reyes del este,1992,75df8f5b-3c5f-4936-a2a0-463eaf21c917
Donde esta mi hembra,Tony Berroa,Album,El solterito del este y los reyes del este,1992,5316284c-c317-4bdd-9748-f0793f767458
Mira como sufro,Tony Berroa,Album,El solterito del este y los reyes del este,1992,bf4b6894-9b74-46cc-8b65-6c81e9b04012
Camino sin final,Tony Berroa,Album,El solterito del este y los reyes del este,1992,a1cddf97-9ebe-42ce-a579-c62b4cfb1d6e
Lastima de tanto amor,Tony Berroa,Album,El solterito del este y los reyes del este,1992,619f0a59-c442-4f7a-8bdf-4406d849ef9d
El que no baila bachata ta' quedao,Tony Berroa,Album,El solterito del este y los reyes del este,1992,852af60a-5aee-43f5-bd5e-aa4f8ca0c90f
Mujer asesina,Tony Berroa,Album,El solterito del este y los reyes del este,1992,f3427d55-cf7b-4890-b195-33086f647236
Pa' lla voy,Tony Santos,Album,El chiqui chiqui,1992,8659fa48-f7a9-4a1d-8bc2-1487a7133616
Ven morena,Tony Santos,Album,El chiqui chiqui,1992,11bb084c-c0f8-480d-9c01-8ae004672979
Dime si te cabe,Tony Santos,Album,El chiqui chiqui,1992,ece3b61c-f44b-466d-8924-324cad66cba7
La mama de la muchacha,Tony Santos,Album,El chiqui chiqui,1992,20f40cac-3c78-4465-8e2c-ee8939de154f
No hay mas madera,Tony Santos,Album,El chiqui chiqui,1992,c5360973-114f-440c-854d-e54653706974
El chiqui chiqui,Tony Santos,Album,El chiqui chiqui,1992,09ca7616-363a-4d67-996e-038b26eba338
Todo el mundo me ha contado,Tony Santos,Album,El chiqui chiqui,1992,8de9acb0-dec4-425f-ae7b-057cd3594efb
Cepillo y cepillo,Tony Santos,Album,El chiqui chiqui,1992,3025952e-54a1-48e7-90d5-1c1605743b3b
Buscando mi mujer,Tony Santos,Album,El chiqui chiqui,1992,82bf132f-f746-4370-8c3f-f41abfa2842a
Pegaito como anoche,Tony Santos,Album,El chiqui chiqui,1992,9038cf77-a95b-498c-bf52-3872c27c28b1
Medicina de amor,Raulín Rodríguez,Album,Medicina de amor,1994,68c0a54f-c3cf-4d4a-a65c-9b358e3adf84
Amor de lejos,Raulín Rodríguez,Album,Medicina de amor,1994,5b1ad64b-278b-4a52-95e0-40dd978ee86f
Homenaje a mamá,Raulín Rodríguez,Album,Medicina de amor,1994,3249aaa9-952d-4002-9146-24477f64d6bd
María Luisa,Raulín Rodríguez,Album,Medicina de amor,1994,ee96cf1e-b5a7-4a16-a015-f5b20c24016f
Niña bonita,Raulín Rodríguez,Album,Medicina de amor,1994,1312756c-e14c-46d3-8a1e-c4ee96fc08f2
Mujer infiel,Raulín Rodríguez,Album,Medicina de amor,1994,b0d0830d-5070-4fdf-a10a-e067d12a5a81
Que vuelva,Raulín Rodríguez,Album,Medicina de amor,1994,2eedfe84-22a7-462b-8c40-d8f4fa0697ec
La morena,Raulín Rodríguez,Album,Medicina de amor,1994,5f89c203-75f6-4add-a4a3-9a4f87ce4046
La cura de Rosa,Raulín Rodríguez,Album,Medicina de amor,1994,de5680ee-3682-4d8a-ba96-908551e749c0
El tiguerón,Raulín Rodríguez,Album,Medicina de amor,1994,c96b5bfc-abe8-4bd0-8c5f-cccfd24df1e6
Paz en la cama,Robin Cariño,Album,Ñoñeria de amor,1995,1745ca93-0384-40ae-a8cb-bd28b5bb35cf
Al vacio por ella,Robin Cariño,Album,Ñoñeria de amor,1995,02001503-1a0b-496a-8e5b-3834017ab635
Dejame solo,Robin Cariño,Album,Ñoñeria de amor,1995,73339d56-b216-46ca-9dba-4bff88d3ebb5
Me equivoque contigo,Robin Cariño,Album,Ñoñeria de amor,1995,11178cd9-58fe-4526-9961-4bcee6982b9b
Brisa fria,Robin Cariño,Album,Ñoñeria de amor,1995,736b3d7b-89fd-458b-b88d-9f85a6f5d8cf
Golpes y besos,Robin Cariño,Album,Ñoñeria de amor,1995,2e73f6b0-a485-4476-93ea-1c77fdfe2a42
Tu seras mia,Robin Cariño,Album,Ñoñeria de amor,1995,09773e36-faff-4fa9-8994-e74b4e0a571f
Amor vampiro,Robin Cariño,Album,Ñoñeria de amor,1995,8e099b2f-0d64-449c-b49b-cb11e27a4603
Ñoñeria de amor,Robin Cariño,Album,Ñoñeria de amor,1995,91bc5a73-1347-4615-a993-1f2ec11abe7d
Millonario sin dinero,Robin Cariño,Album,Ñoñeria de amor,1995,06d75a51-c12b-49af-b6e4-7448590e31f0
Lo que siento por mi hembra,Maximo Mercedes,Album,La estrella del este,1995,9d6991d4-274b-4824-98f4-55a9b17e444c
María,Maximo Mercedes,Album,La estrella del este,1995,d84ef8dd-5ebf-4208-a918-d74ebeefb213
Solamente mía,Maximo Mercedes,Album,La estrella del este,1995,c1dd087e-ce85-420e-ad15-25b419a0badc
Donde estará,Maximo Mercedes,Album,La estrella del este,1995,d2049186-d12d-45b4-8b03-aa553dc69b34
Ven morena,Maximo Mercedes,Album,La estrella del este,1995,7133ff9e-6393-4432-9a9c-974c78c5df03
Isabel,Maximo Mercedes,Album,La estrella del este,1995,2569206a-1736-4ff2-ab6a-575a755a7589
Amor prohibido,Maximo Mercedes,Album,La estrella del este,1995,1120617a-7225-4ac2-9af4-65abc702989c
Vine a buscarte,Maximo Mercedes,Album,La estrella del este,1995,5642d9db-4382-454f-9aa5-81ff5892c1d9
Amor especial,Maximo Mercedes,Album,La estrella del este,1995,b5490f5b-a640-4284-8fdb-ba40bdb4a4c0
El ritmo guey,Maximo Mercedes,Album,La estrella del este,1995,39132f15-2606-4d43-8137-03882778e03a
Bella como una flor,Frank Reyes,Album,El Príncipe,1996,a2c6c8b2-c5e5-4b59-a03d-88cfaab11d74
Dos mujeres y un corazón,Frank Reyes,Album,El Príncipe,1996,db3c4115-5dae-441e-81e4-d838e3c8e376
Basta ya,Frank Reyes,Album,El Príncipe,1996,c253f06f-51b3-4c76-81c5-d5db68023136
Gracias mi dios,Frank Reyes,Album,El Príncipe,1996,bd613f04-a9ba-410b-bd7a-86e7234e9a09
Se fue mi enamorada,Frank Reyes,Album,El Príncipe,1996,82c6da2d-ec0b-4119-a212-0b3579937be9
Te felicito,Frank Reyes,Album,El Príncipe,1996,8b6adce7-26e3-4dc0-bdce-2285d62d9786
No era cierto,Frank Reyes,Album,El Príncipe,1996,5c6e007a-0020-4de9-b24c-994322cf43d5
Una hembra como ella,Frank Reyes,Album,El Príncipe,1996,92e92abe-69d0-45eb-87af-d7492272bbc5
Cerquita del baño,Frank Reyes,Album,El Príncipe,1996,38e96395-fad5-4f69-90f5-f67292caf73d
Cuando seas mia,Frank Reyes,Album,El Príncipe,1996,d3472755-3e06-4e89-a871-6b61f7a7b91f
Vuelvo a encontrarte,Frank Reyes,Album,El Príncipe,1996,fc39e4f8-e0aa-4237-85d0-89bf82d45277
Asesina,Juan Bautista,Album,Asesina!,1997,4d6d4f2e-e678-4ee3-b1b9-32c1f724cc68
No soy feliz,Juan Bautista,Album,Asesina!,1997,36ad705c-dea9-45c9-878b-97d1fe899ce1
Lucero,Juan Bautista,Album,Asesina!,1997,5a8f623c-4b7c-406a-9f65-45a31e69c915
Rochy,Juan Bautista,Album,Asesina!,1997,abc04b1d-52cf-4022-96a4-f2cf2230263f
La casita de mama,Juan Bautista,Album,Asesina!,1997,7b8e84dc-cf9b-4c3a-a57c-ef8b86a20d82
La tristeza,Juan Bautista,Album,Asesina!,1997,1828ae7d-a8bb-4d9e-a400-f0ea2cf77c33
Traicion de un amigo,Juan Bautista,Album,Asesina!,1997,4773207a-c59e-46d0-b066-1532e99e5ea0
Hijo sin padre,Juan Bautista,Album,Asesina!,1997,e5c40a67-ae96-470a-bbaa-57105079cfe3
La ruta desaparecida,Juan Bautista,Album,Asesina!,1997,6df4e6c5-54e4-43df-b101-32bfb8de6cd5
La puerta rompere,Juan Bautista,Album,Asesina!,1997,f02f8c08-1525-4fc5-a7df-486179535f63
Perdido,Juan Bautista,Album,Asesina!,1997,bc7c671f-2f37-4f57-ba56-bf5634d7a4f0
"Tu, él y yo",Yoskar Sarante,Album,Si fuera ella,1998,00f92ceb-75cc-4f68-ad77-a4994d2c4d6d
Si fuera ella,Yoskar Sarante,Album,Si fuera ella,1998,9b47fe7b-5c3f-4724-a0a0-7e9d5cc0b623
No puedo vivir sin ella,Yoskar Sarante,Album,Si fuera ella,1998,1c1a6a1d-9118-4c2c-a16c-d59694252ebd
