titulo,tipo,artista,fecha-lanzamiento,generos,id
El solterito del este y los reyes del este,Album,Tony Berroa,1992,bachata,447cc0d5-a920-4272-8b81-6ad0745359d3
El chiqui chiqui,Album,Tony Santos,1992,bachata,4213cf74-3f93-42b4-8bc0-c49c6f13ccca
Medicina de amor,Album,Raulín Rodríguez,1994,bachata,6c8ceff3-9a6d-434e-b1a1-690f36a278d6
Ñoñeria de amor,Album,Robin Cariño,1995,bachata,8e76ca16-0405-44e0-b299-f728ff3c24f1
La estrella del este,Album,Maximo Mercedes,1995,bachata,5d6234c1-525b-43c3-b76e-d9c1b2893026
El Príncipe,Album,Frank Reyes,1996,bachata,a751d049-c2c6-474e-ab49-16c0705cc98b
Asesina!,Album,Juan Bautista,1997,bachata,19dccdd0-b5e3-4a68-9929-2ce6564ca1b7
Si fuera ella,Album,Yoskar Sarante,1998,bachata,a1aad1c0-1812-4ec2-8d9d-31e93cb7aa39
Bachata a su tiempo,Album,Alex Bueno,1998,bachata,9d5362d3-18cb-4479-9b16-f83ce8d91647
Acéptame como soy,Album,Joe Veras,1998,bachata,d9f6ba6c-0a38-4f1f-a26b-ab2a72000ce3
Reencuentro,Album,Joe Veras,1998,bachata,7da68931-0d81-4eb5-8548-ef048e5a17bf
La fiera indomable,Album,Maximo Mercedes,1999,bachata,8870723e-93a7-4c83-b5c4-4f6ccd4e4f09
Directo al corazón,Album,Elvis Martínez,2000,bachata,e7280e08-6721-4c86-a6c4-41a383bb2848
Tú vas a volar,Album,Junior & Jorge,2000,bachata,f92d29cb-487f-4f03-82c4-b16ad53be7ca
Llora alma mía,Album,Yoskar Sarante,2000,bachata,ec2b79f4-a6a4-4b0b-ae37-d3e75a1ae378
Desde el fondo de mi alma,Album,Leonardo Paniagua,2002,bachata,f2f101d0-7bfc-4b07-ae87-de899e81f5c1
....No es casualidad,Album,Yoskar Sarante,2002,bachata,b72907a5-d72f-46c4-bc68-56eafdb5d90d
Hasta el fin,Album,Monchy & Alexandra,2004,bachata,670e06e5-9531-4f16-8b03-a1bc4229fa51
Unplugged,Album,Aventura,2004,bachata,d0f781c0-3964-467c-950f-634ee17c6f49
Ironía,Album,Andy Andy,2005,bachata,1b55255d-998c-4c85-ad2b-bc85e6690f5f
Parada 37,Album,Yoskar Sarante,2005,bachata,5b4b0f49-e575-40b2-a509-197b5423f4c5
Dosis de amor,Album,Frank Reyes,2005,bachata,95769f39-2c3c-420a-8d37-3241684394e6
Xtreme,Album,Xtreme,2005,bachata,c98581d5-71d5-40c3-a502-1e227b09dee3
Bachata con puro sentimiento,Album,Charlie Zaa,2005,bachata,620558c5-112f-4f6b-bdb3-12c44bd3b676
José Manuel Calderón,Album,José Manuel Calderón,2006,bachata,9bfbbc50-88a5-4571-b6fc-4718c872ca0e
Bachata entre amigos,Album,Víctor Víctor,2006,bachata,3b7934c2-7ca9-4423-a5c2-5f7220151457
Kings of Bachata: Sold Out at Madison Square Garden,Album,Aventura,2007,bachata,926b6b77-44ef-46c6-ad17-41411013af29
Los grandes de la bachata,Album,Various Artists,2007,bachata,1dcd755d-a01a-47e2-862a-7a26686e4c77
La luz de mis ojos,Album,Elvis Martínez,2007,bachata,fa0eeda8-0030-41b5-a752-86e1fc9158c1
El amor vencerá,Album,Zacarías Ferreira,2008,bachata,b004e344-ffb4-47e0-95d2-69285a2ee750
Radio rompecorazones,Album,Daniel Santacruz,2008,bachata,4c610952-8b47-45d1-83d0-b786ae4a6309
Lo mejor del Caribe 2008,Album,Various Artists,2008,bachata,0111cfab-988b-49b2-b2db-6ceb786c5bc3
Vuelve vuelve,Album,Yoskar Sarante,2008,bachata,cb84f290-d064-4405-bdd6-82306dd0589a
Vida,Album,Joe Veras,2008,bachata,d9f173b0-ce81-4ec4-94c4-72198ac7954d
Muchos cambios en el mundo,Album,Antony Santos,2008,bachata,388bc15d-7640-4ccb-b5d1-00a248f54ea2
Vete y vuelve otra vez,Album,Kiko Rodríguez,2011,bachata,1bb750fc-ad50-4405-86e0-ae78384fa521
The Bachata Legends,Album,Various Artists,2011,bachata,64b568c6-d631-4b52-a1bc-f5507cecbc9f
Monchy & Nathalia,Album,Monchy & Nathalia,2011,bachata,913e48cb-70a7-4d61-b485-99a531e85c5d
14+14,Album,Aventura,2011,bachata,3e624688-4c63-4279-8f72-50606066c2ad
#1's,Album,Prince Royce,2012,bachata,0835d5b3-821e-4ec4-84ad-2a81435da88f
Day 1,Single,Leslie Grace,2012,bachata,64c710a1-306d-464b-a6c4-39762408f563
True Love,Album,Grupo Rush,2012,bachata,d32acd4b-3d4c-412c-b5ee-d75a0d219982
