titulo,tipo,artista,fecha-lanzamiento,generos,id
Na Europa,Album,Os Brasileiros,1958,"samba, latin, cumbia, forró",c049c924-8cc7-42f1-aec2-297f58629955
Dinamita,Album,La Sonora Dinamita,1961,"latin, cumbia, bolero, guaracha, porro",d6d8529e-52e0-4e1f-902e-aa3405c23ba7
La Sonora Cienaguera,Album,La Sonora Cienaguera,1962,"latin, merengue, cumbia, porro",27e32cc1-ec8a-4058-adf0-d0e773d4d12e
16 grandes éxitos,Album,Peñaranda y Su Acordeón,1964,"latin, merengue, cumbia, vallenato, porro",9ccac673-2863-4aa8-8d66-3192fa08feb5
Super Combo Los Tropicales,Album,Super Combo Los Tropicales,1964,"salsa, latin, merengue, cumbia",a72e674d-7bae-4325-9401-91355b9dc346
Cantos de mi tierra y de mi raza,Album,Leonor González,1964,"latin, cumbia",c995be97-4921-46f7-93cf-d692428b0a41
Recuerdo De Los Morochucos,Album,Los Morochucos,1964,"latin, cumbia",
Más cumbias,Album,Various Artists,1964,"latin, cumbia",58e89049-11cf-440b-9c2a-5a57617651fe
Mi cafetal,Album,Marimba Hermanos Paniagua,1965,"latin, cumbia",ccbfb18c-cfda-40ba-a838-db55feae9e79
Cumbia con Mike Laure,Album,Mike Laure,1965,"latin, cumbia",1a7b6d7f-0af2-4ca2-947d-1a80d36ed36f
Cumbias y dengues,Album,Los Xochimilcas,1965,"rock, latin, cumbia, mambo",c79856f5-28b6-4280-b164-da7062059e73
Bombo y maracas,Album,Climaco Sarmiento y su Orquesta,1966,"latin, cumbia, bolero, porro",1205674f-a77b-4dc4-9575-fc4ba8112d91
Fuiste a Acapulco,Album,Los Xochimilcas,1966,"pop, latin, cumbia, bolero, guaracha",e0c5d4dd-a3b8-4797-bdb5-fbc1369742e4
Negra Linda,Album,Sonora Casino,1967,"latin, cumbia, descarga",e5ff986b-6fee-4d44-ab85-920fd866c718
¡Cumbiando…!,Album,Los Xochimilcas,1967,"latin, cumbia",1c51f863-8902-47e9-98e9-1012b4d4e391
Mi buenaventura,Album,Peregoyo y su Combo Vacaná,1967,"latin, cumbia, descarga, plena",63f81b68-e861-4df8-b6be-87a4c14772c6
Cumbayea,Album,Mario Allison y su Combo,1967,"salsa, latin, cumbia, pachanga, guaracha",46407c13-a8d3-41ba-ac1a-00e8ab73acbe
Burucuca,Album,Lucho Bermúdez y su Orquesta Sabanera,1967,"latin, cumbia, porro",f7d20090-14c6-4658-9c26-39759947ceee
Albacitos De Oro,Album,Polibio Mayorga,1968,"electronic, latin, cumbia",59a892c6-8263-4d4a-b7b9-9524992fe84b
Trago gorriao,Album,Alejandro Durán,1968,"latin, merengue, cumbia, vallenato",6f754c79-1294-4a04-acf6-0eb23a87a375
