titulo,tipo,artista,fecha-lanzamiento,generos,id
El camaleón,EP,Chico Novarro,1963,"pop, latin, merengue, cumbia",220a4b6e-3bef-4b82-a1b7-550d0c408bd1
La Negra Ine / La Canelosa,EP,Los Caribes,1982,"latin, cumbia, porro",345d23d8-45aa-4c1e-8353-37ecf92b0a1a
La negra Tomasa,EP,Caifanes,1988,"rock, alternative rock, latin, cumbia",38d17389-366d-46aa-bb16-172730bddf5f
Bersa Discos # 3,EP,Various Artists,2008,"latin, cumbia",fd2ce143-db53-4c81-a01a-1b553e6b4376
Bersa discos,EP,El Hijo de la Cumbia,2008,"electronic, latin, cumbia",7f6c08ae-feee-4ac3-857f-856f78e584fa
Bersa Discos # 2,EP,Various Artists,2008,"electronic, reggae, latin, cumbia",7121c548-4785-4005-9452-d4b91b875e6f
Bersa Discos #6,EP,Sabo,2009,"hip hop, reggae, latin, dancehall, cumbia",125e9228-9383-46b2-9bed-fd8de103c3a5
Bersa Discos #5,EP,Various Artists,2009,"electronic, hip hop, latin, cumbia",46d4d35e-3b70-45ad-8832-473061c606da
Nueva Cumbia Argentina: The Buenos Aires Implosion,EP,Sonido Martines,2009,"electronic, latin, dancehall, cumbia",01c563c2-ffa7-4f2c-9fa1-d43c026e35e3
0110010101110000,EP,The Binary Cumbia Orchestra,2010,"electro, latin, cumbia",a10b9f8e-dbac-4ebd-a8be-3578ca631faf
Cumbia XXX,EP,Munchi,2010,"electronic, house, latin, cumbia",
Pitchito,EP,Frente Cumbiero,2010,"latin, cumbia",81a7821f-d9bd-4fea-9471-aa2c4ebdfc68
Hip Hop En Cumbia EP,EP,Quantic,2011,"hip hop, latin, cumbia",b39b90a7-a45d-41b7-b067-befff2f88ec2
Lucho Bermúdez y Su Orquesta,EP,Lucho Bermúdez y su Orquesta,2011,"latin, cumbia",f4ef3db7-3c38-429a-843a-0f1b4d84ee54
Revolución EP,EP,Copia Doble Systema,2011,"electronic, house, latin, dancehall, cumbia",b5a53736-2915-4588-b67c-1e5f537ab2dc
Chambacu Remixes,EP,Schlachthofbronx,2011,"electronic, electro, latin, cumbia",88a825c6-b7c1-40cb-b358-c09cd5e5bc1c
Deepaton: Moombah Volume 2,EP,SaBBo,2011,"electronic, dubstep, latin, cumbia",1d8c3b72-6d13-4fa6-baa6-22c534c6c1c0
Los Rastreadores,EP,Ortiga,2012,"latin, cumbia",08f7f846-1888-471a-a4aa-8e45db78e91c
Suelta la voz,EP,Copia Doble Systema,2012,"electronic, house, latin, cumbia",e86e7040-a258-406e-bc39-fc95d0b12089
Katakana Edits Vol.08,EP,ManJah,2012,"reggae, soul, breaks, dancehall, cumbia",24aa4544-47bc-41b5-aef6-41adf69683fc
M.N.D.,EP,M.A.K.U. Soundsystem,2012,"punk, psychedelic, afrobeat, cumbia",495b2ff4-49d8-4c4b-ac6a-f7616bc375b7
El Lava de Gabacho,EP,Malphino,2013,"latin, cumbia",502c4848-b08e-4c06-9e4d-edef12bbdff3
Strange Fruit,EP,ManJah,2013,"reggae, soul, breaks, dancehall, cumbia",b64e59f6-1d8e-43f3-b818-41f86baef0b1
All plato,EP,Faauna,2013,"cumbia, moombahton",ed4a1fa3-73bf-4355-972f-e473811236a8
Cumbiadelica,EP,ManJah,2013,"reggae, soul, breaks, dancehall, cumbia",9cde3901-31d1-45aa-bb62-0d0961dd1897
EP1,EP,Gypsy Ska Orquesta,2013,"punk, ska, swing, cumbia",ddd00530-a8f7-4e0d-a939-5d154443266b
Más Sonido Tour 2013 EP,EP,Raggabund,2013,"hip hop, reggae, latin, cumbia, ragga",46e8824b-f5f9-4019-81e3-fe976a4dc9f2
Sakala Mois,EP,Royal Highness,2013,"latin, cumbia, kuduro, trap",d55c16fd-1aec-4d30-95b0-6d633c429e69
Simiolo Remixes EP,EP,Dengue Dengue Dengue!,2013,"electronic, dance, latin, club, cumbia",68bd8269-e307-4724-86a3-047ec2bce92b
Cuatro tigres,EP,Chicha Libre,2013,"rock, latin, cumbia",65857cff-0f41-4e8d-91f8-e8b65cc3efb4
Productions & Remixes Vol.2,EP,The Binary Cumbia Orchestra,2013,"electro, latin, cumbia",dbc32be0-adef-4ce3-a3e1-24cbe65623f4
La frekuencia EP,EP,Paco Mendoza,2014,"electronic, dance, latin, club, cumbia",79f3e7e1-adb6-4dfd-a4dc-076290ab195e
¡Noche caliente!,EP,Cumbiaman y su sonido nueva Religión,2014,"latin, cumbia, chicha",3b624c33-85df-45e2-a96d-83c4dc1b6333
Revenge Of The Calavera,EP,Deela,2014,"electronic, hip hop, reggaeton, cumbia",1c8fff06-e09a-4a0f-8f58-744ee12f2c1b
Exótica,EP,Vate,2014,"electronic, ambient, electro, cumbia",07504a64-48c1-45da-babb-79308de5090a
Chupame el dedo,EP,Chupame el dedo,2014,"rock, electronic, black metal, speed metal, grindcore, latin, cumbia, digital cumbia, tropicanibalismo",96f8baa1-7d87-461e-9a90-6809ac3a8bbd
Full Monty EP,EP,Full Monty,2014,"punk, ska, folk rock, cumbia",1d35d116-86e0-41fc-bb80-dbdda14d3f4e
Japan Years Volume III,EP,Dolomites,2015,"electronic, punk rock, cumbia",52a26a2d-11e3-49fe-849b-8c40fb3b4757
Katakana Edit Vol.27,EP,ManJah,2015,"reggae, soul, breaks, dancehall, cumbia",a42d294f-dd21-433b-b8d4-ef54945e74fb
Mousy EP,EP,Full Monty,2015,"punk, ska, folk rock, cumbia",c99c6e39-bf72-4683-b361-9e3f3f51c468
EP2,EP,Gypsy Ska Orquesta,2015,"punk, ska, swing, cumbia",3568001a-cd83-40c5-83b7-e3a1fbd8b744
Katakana Edits Vol.25,EP,ManJah,2015,"reggae, soul, breaks, dancehall, cumbia",ab36d779-185f-415d-9805-cd1973b51d06
Utopïa,EP,La Flör del Otrö,2015,"reggae rock, latin, rumba, cumbia",6f8046e5-4d6d-4a29-8eef-5edfaef73b32
Salicorne,EP,Sauvage FM,2015,"punk, electro, indie, club, cumbia",31e178e3-62b2-4fe5-b712-1e490f30a954
Is Dance,EP,Zoonido,2016,"electronic, house, techno, latin, cumbia",db7de76a-3906-42f3-93a6-b0635adeb040
Zoonidotheque,EP,Zoonido,2016,"electronic, house, techno, latin, cumbia",ebbd74b2-d8c0-49d9-8b1a-4f073bb41c8f
Especias EP,EP,Kraut,2016,"electronic, dance, house, electro, cumbia",6ca2d91f-615b-4419-bc5d-212c72dc5109
Black Beach,EP,Crudo Pimento,2016,"rock, metal, blues, experimental, cumbia",6de2bf02-28a0-4157-b40e-b901c732d20b
En Orbita EP: The Remixes,EP,Superpendejos,2016,"electronic, house, latin, cumbia",420591a0-d3e8-42bf-9a56-d32e3801075c
The Garabato Sessions (Remixes),EP,Totó la Momposina,2016,"cumbia, porro",3fbfb530-5feb-4c77-8289-f083b558b8b0
El Warm Up,EP,DJ CHi-C,2016,"experimental, latin, cumbia, footwork",aae462fa-f364-417a-a2d6-7c654a08aa82
Taricaya,EP,Shushupe,2016,"cumbia, moombahton",5b5f1161-175c-4337-8ba7-7ad361d17113
Candeleros EP,EP,Candeleros,2017,"salsa, merengue, cumbia, champeta",d217580c-36b6-4ceb-8044-4da723ebd0b8
Resurrection Los,EP,Los Camaroes,2017,"afrobeat, cumbia, soukous, makossa",6d64dce0-4729-488e-b8e1-72b292e7133d
Visiones,EP,Nicola Cruz,2017,"electronic, deep house, latin, cumbia",b7e8c87b-2cfa-4712-baae-eb37e8c9debe
Dirty Dancing,EP,Spoko,2017,"electronic, house, techno, club, cumbia",70e69164-330b-4054-8960-f6b5918fc726
Sabor global EP,EP,Real Cumbia Activa,2017,"electronic, cumbia, digital cumbia",e8223dfa-a454-4729-8fa0-0131b6c53979
Tamoanchan,EP,El Búho,2017,"electronic, electronica, folktronica, cumbia",07200d51-8d58-47db-8edc-6d6de4de815f
Chinampa,EP,El Búho,2017,"electronic, electronica, folktronica, cumbia",660ea5b5-c97e-469d-9c42-5a8fd52cadcc
Real Cumbia Activa EP #1,EP,Real Cumbia Activa,2018,"electronic, cumbia, digital cumbia",edd6ad13-61cc-4bf5-b2c9-28aaa4ff0746
Down in the Basement,EP,The Mauskovic Dance Band,2018,cumbia,74e4f39d-ccac-494d-aa4f-c4ea1b80538c
Un Helado de Portugal,EP,Sexteto Tabalá,2018,"latin, afrobeat, cumbia",0bc57033-8df1-4c0c-938f-d8707e8e1228
Sundance EP,EP,Deela,2018,"electronic, reggaeton, cumbia",f352520d-ee62-44b8-b550-1baf76f8b863
Deela Remixes - Pt1,EP,Deela,2018,"electronic, reggaeton, cumbia",59d1b9d8-28b4-43bd-a158-6ea30835b16a
¿Sabe qué pasa?,EP,Candeleros,2018,"salsa, cumbia, champeta",b9a501d3-b979-4293-abf0-dead3869186a
En Orbita EP,EP,Superpendejos,2018,"electronic, house, latin, cumbia",e11cf183-bc49-463f-917b-f5a730bf8ba0
Fuego,EP,Totó la Momposina,2018,"cumbia, porro",e8495552-5cb4-4fd4-8532-5b5a8c001ee7
Rain,EP,Matías Aguayo,2018,"electronic, house, techno, cumbia",e65bc873-bc0e-4e38-bff0-f82ed2dce538
Cumbia municipal,EP,Fundación El Gusano,2019,"experimental, cumbia",b0a332f4-17fd-4fd1-8cfa-316737d91f04
El Keamo Mas,EP,El Keamo,2019,"cumbia, neo cumbia, digital cumbia, electrocumbia",a4fb6181-0146-4646-a9fd-0c8f05bcc0d9
De mar y río remixes vol. 1,EP,Canalón de Timbiquí,2019,"electronic, downtempo, dub, cumbia, currulao",b10068f2-aff8-48f0-b88d-e8a705aab171
El rey y el peón,EP,Nkumba System,2019,"latin, cumbia",7dd66cf6-13e3-434c-9c94-e9ba43f49eba
Bienaventuranza Remixes EP,EP,Chancha Vía Circuito,2019,"electronic, house, latin, digital cumbia",1e247f12-9c2d-4c16-b416-f6ecad5016e0
Crema Remixed,EP,Banana Sound Cartel,2019,"latin, cumbia",5dccbfac-9c15-4764-b755-55ee18d2f8d6
The Code,EP,XIXA,2019,"rock, latin, cumbia",cccc8fb6-c503-46ea-b37d-011a03747843
Fantasía olmeca,EP,Amantes del futuro,2020,"latin, cumbia",b48b66bb-cd41-4d16-8db7-4f79a12febc8
Calafia Armada,EP,Calafia Armada,2020,"latin, cumbia",4b65e696-0b67-4280-b3a6-8b80f96247a4
Ay amiga,EP,Eurowitch,2020,"reggaeton, cumbia, neoperreo",69bcc60a-1594-4d94-b8b7-1b6a310dba25
Minyo Cumbiero,EP,Minyo Crusaders,2020,"latin, cumbia",b9acb175-f514-4fbc-b564-d651c149d1cf
De la cuna a la tumba (Neo),EP,Kami Kama,2020,"reggaeton, cumbia, trap",5abe3964-ceee-4b3f-8d64-939df481d8a5
GMC - L.E.D.A. [DANZA05],EP,GMC,2020,"electronic, folk, cumbia",08ef7f5a-a499-415e-a5ab-180e4c829b24
Fundo de Marê Palinha,EP,Voz di Sanicolau,2020,"afrobeat, cumbia, coladeira, afro-funk",fcb58a39-4a59-4711-be91-57479c3f2d38
Atemporal,EP,KR∆UT,2020,"electronic, dance, electro, cumbia",7d7753c4-4395-4c43-bf3d-d85da2520b16
Humos Vol. 1,EP,Dengue Dengue Dengue,2020,"electronic, cumbia",397421f5-161f-4309-9e5b-805aa07b5a5e
Lilium,EP,Kraut,2020,"electronic, downtempo, dance, electro, cumbia",b56e3643-247c-432e-bde1-1625467a1c51
Humos Vol. 2,EP,Dengue Dengue Dengue,2020,"electronic, dub, latin, cumbia, footwork",355d3be8-f926-42b3-97c8-31ec5855ca8b
Humos Vol. 3,EP,Dengue Dengue Dengue,2020,"electronic, dub, latin, cumbia, footwork",a8794154-5f38-4deb-bc1f-a5cb726f042d
Los alemanes no pueden bailar,EP,Grupo Pisse,2021,"punk, cumbia",b3ea2c6b-ff6f-4fee-8551-0e92d45520ac
Mayahuel,EP,Sávila,2021,"folk, experimental, latin, cumbia, r&b",c72ad342-c8d9-4d75-87f3-14512d3e3a37
Core / EP,EP,Entrañas,2021,"reggaeton, club, cumbia, dembow",6b392ed2-83cd-4bed-a5cb-b03585514954
El Monstruo,EP,La MalaFarra,2022,"punk, folk punk, cumbia",114102c6-e322-43e7-b121-3c4a1f237693
¡Kirbia!,EP,Louie Zong,2022,"instrumental, folk, cumbia",262c351e-5330-4da2-8e9a-5d2044106952
La Ñapa,EP,The Bongo Hop,2022,"salsa, latin, cumbia",c958992e-12a3-4f7f-a289-dbd03628ad25
"Ayahuasca: Música para cine de Luis David Aguilar, 1978–1983",EP,Luis David Aguilar,2022,"experimental, salsa, cumbia",6af6ef16-8e44-4953-ac44-2ee81c8b88e4
Cismo,EP,Reza,2022,cumbia,829736a2-5043-4c32-be54-6d405e2178a3
The Model,EP,Sonido Gallo Negro,2023,"dance, reggae, latin, cumbia",c0618358-0e81-4449-be4b-eb3ecbc6c0f1
El bululú,EP,Candeleros,2023,"instrumental, latin, cumbia",0cd69d3f-c14c-42cc-99e8-767c4b7879aa
Las palmitas del Ecuador,EP,Sensación Latina,2024,"electronic, folk, latin, cumbia, cumbia sonidera",7577fb68-1463-4097-938b-ef146b11fba6
Percutronics,EP,Jah Sazzah,2024,"reggae, dub, afrobeat, cumbia",c078656a-637d-4132-b764-1c5bebbcb503
Cumbia Lorana / Sabrosona,EP,Kings del Wepa,2025,"latin, cumbia",4e7804f3-d204-4654-ac1a-266d5b665d27
