cancion,artista,tipo,lanzamiento,fecha-lanzamiento
Cumbia Amazónica,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
Chancaquita,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
La tortuguita enamorada,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
El chasco,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
El balsero solitario,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
La camisola,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
La selvática alegre,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
Triste hablador,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
El mundialito,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
Las mujeres no se acaban **,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
Paloma limón,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
Todo acabo,Los Wembler's de Iquitos,Album,Al Ritmo de los Wembler’s,1972
La música brava,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
La casa en el aire,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
La candela,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Cumbia te recuerdo,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Cumbia de mi tierra,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
La mija,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
La espiguita,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
El merecumbé,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Se formó el cumbión,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
El nido,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
A mi Ecuador *,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Dónde está que no lo veo,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
No puedo olvidar tu amor,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Se formó la gozadera,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Paloma negra,Don Medardo y sus Players,Album,"La música brava!, vol. 11",1975
Boquita de caramelo *,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
La colegiala *,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Linda rosa,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Baile del brincaito,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Muchachita del oriente,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Penas por un amor,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Perdido y borracho *,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Cumbia de diciembre *,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Que regrese,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Muchachita celosa,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Quiero que me des tu amor *,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Vagabundo soy,Rodolfo Aicardi,Album,Que chévere... vol 2,1980
Mariposa Fría (María José),Granizo Rojo,Album,Hechizo,1990
Adolescente y Bonita**,Granizo Rojo,Album,Hechizo,1990
Ya No Hagas Más Sacrificios,Granizo Rojo,Album,Hechizo,1990
Volver A Empezar,Granizo Rojo,Album,Hechizo,1990
"Mon Amour, Mi Bien",Granizo Rojo,Album,Hechizo,1990
Tu Cantor **,Granizo Rojo,Album,Hechizo,1990
Falsedad,Granizo Rojo,Album,Hechizo,1990
Como Sufro,Granizo Rojo,Album,Hechizo,1990
Tengo Celos,Granizo Rojo,Album,Hechizo,1990
La Mesa 22,Granizo Rojo,Album,Hechizo,1990
Senti Llorar,Granizo Rojo,Album,Hechizo,1990
Amor Total,Granizo Rojo,Album,Hechizo,1990
Nenita,Granizo Rojo,Album,Seis Para Triunfar,1993
Esa Pared,Granizo Rojo,Album,Seis Para Triunfar,1993
Linda Muñequita,Granizo Rojo,Album,Seis Para Triunfar,1993
Cariñosa Coqueta,Granizo Rojo,Album,Seis Para Triunfar,1993
No Hay Mal Que Dure Cien Años,Granizo Rojo,Album,Seis Para Triunfar,1993
Te Juro Que Te Amo,Granizo Rojo,Album,Seis Para Triunfar,1993
