titulo,tipo,artista,fecha-lanzamiento,generos,id
¡Despeinada…!,Album,Los Xochimilcas,,"latin, cumbia",0bf10aa6-17fd-4a1f-b530-ba52212913a1
Jamas / El meneito,Single,Los Continentales,,"latin, cumbia",2206e927-9276-4419-a937-88664b8cae75
Parrandear El Carnaval / Acuerdate de Mi,Single,Amalia Delgado,,"latin, cumbia",7e1ba199-d053-473a-b2f9-8d103a5e13fd
Canta mi pueblo,Album,Orquesta Hermanos Flores,,"latin, cumbia",01c3a319-381a-40c2-87c0-47592c0e8bb9
Prende la vela / Cumbia de las Cubas,Single,Mariachi Palomar,,"latin, cumbia",92e0d0bd-6271-441d-bcea-fe1c8407064c
Éxitos,Album,Los Destellos,,"latin, cumbia",6005475c-abbb-44f4-a962-3de9af0cb59c
20 reales superexitos,Album,Los Ángeles Azules,,"latin, cumbia",35b9282e-42b2-42f7-8786-06ccda46b3ec
Carlos Pickling y su Organo Espacial,Album,Carlos Pickling y su Organo Espacial,,"latin, cumbia",36b9412b-61d1-4143-922b-c99cebd8d16d
Pájaro que deja el nido / Canoa ranchada,Single,Leonor González Mina,,"latin, cumbia",a91f60a0-d044-4a02-b79d-196b367bd780
Momposina / Yolanda,Single,Carlos Pickling y su Organo Electrónico,,"latin, cumbia",9ba7ae74-f96e-4714-91d6-477e99340a29
Fiesta regional selvática,Album,Various Artists,,"latin, cumbia",32ef43e5-911e-4c8d-ae68-42f3fbab4930
Cumbias solamente cumbias,Album,Various Artists,,"latin, cumbia",4c069774-32cb-4a9f-9f22-5704646eb8a8
"Cumbias solamente cumbias, vol. II",Album,Various Artists,,"latin, cumbia",54e7625f-9260-4624-8e5f-f300dd74207e
100% villero,Album,Los Pibes Chorros,,"latin, cumbia villera",
The Exciting Tropical Dance Rhythms of Colombia,Album,Lucho Bermúdez y su Orquesta,,"latin, cumbia, porro",fdfda73e-35e0-4b60-a20a-80a3220efa3d
Eroticorythmotropicalomanie Vol.1,Album,Orchestre Los Hermanos Martelo,,"latin, rumba, cumbia",19ec37fd-7a92-4250-9ace-e4f7b428bc30
Puta realidad,Album,Coca Candy,,"dub, latin, cumbia",
Aguzante,Album,Carlos Miranda Y El Supercombo Angelito,,"salsa, latin, cumbia",50d89b8a-7ee1-4adc-b8d1-87f008b08b57
Lo mejor de La Sonora Dinamita,Album,La Sonora Dinamita,,"latin, cumbia, porro",ba2745dc-c612-4942-aede-7b76ba7bf089
Pedro Laza y Su Banda,Album,Pedro Laza y su Banda,,"latin, cumbia, porro",163d0ef2-2b86-46d6-a272-3916f755ffdc
La ultima primavera,Single,La Makina del Ritmo,,"psychedelic rock, cumbia",
La medallita / Carola,Single,Los Continentales,,"rock, latin, cumbia",6ba79d6b-6bda-4fcb-aa55-a7fbd4d94ec3
Cumbias y Norteñas,Album,Los Temerarios,,"latin, cumbia, norteño",ad089e43-8d31-4821-9390-3f40b4e61863
Caracoleando,Album,Pacho Galán,,"latin, cumbia, porro",762d97a0-b940-4d23-81c1-ec72fdefe386
Adios Lola / Samba Malando,Single,Félix Martínez y sus Chavales,,"salsa, latin, cumbia",31e3e3a9-688d-4855-865a-0b5fb0444782
Los sabanales / La reina del espacio,Single,Calixto Ochoa y su Conjunto,,"latin, cumbia, porro",a75abb61-fd68-422e-8648-1c017cf95a48
Ambiente de Caracas,Album,Los Megatones de Lucho,,"latin, cumbia, guaracha",92b0565b-304b-4942-8c18-d76e8c877756
El bonaerense,Album,Damas Gratis,,"latin, cumbia villera",11ca7e34-d912-48fb-accc-bbbed76974d5
Deliciosa...,Album,Juancho Vargas y su Órgano Sensacional,,"latin, merengue, cumbia, guaracha",0086de3f-080f-42ee-b9dc-51d86eb6f7d3
Los Imperial En Caracas,Album,Los Imperials En Caracas,,"salsa, latin, cumbia, guaracha",
A todo tren,Album,Los Diablos Rojos,,"salsa, latin, cumbia, guaracha",e2e855ba-7f4d-4d0a-8f44-86be003efa21
Furia bailable,Album,Armando Velasquez,,"salsa, latin, cumbia, porro",494b0061-adab-445a-9472-dab58fe03efd
Grupo Karakhol,Album,Grupo Karakhol,,"latin, cumbia, guaracha, guajira",54a1d165-56a2-48fe-891d-9141f32c1038
Noches costeñas,Album,Combo Di-Lido,,"latin, cumbia, bolero, porro",4e46479f-3123-43c8-a02d-df6e23c4c152
El poncho / Óyelo que te conviene,Single,Los Rumbaney,,"rock, latin, cumbia, guaracha",c3c2ac30-fc40-4804-9bd5-506de4e81815
"Grupo Karakhol, vol. II",Album,Grupo Karakhol,,"salsa, latin, cumbia, guaracha",161ba0e3-07eb-440c-afa3-c84b031999da
Parranda costeña,Album,Efraín González,,"latin, merengue, cumbia, porro",e0483b5b-7a32-4252-ab08-0d56cacab980
Latin Specials,Album,Various Artists,,"salsa, latin, merengue, cumbia",002dac55-968b-407e-aab3-1763d3889b10
Palenke vs. Palenque,Album,Palenke Soultribe,,"electronic, electro, leftfield, latin, cumbia",
Mi barquita de madera,Album,Augustine Ramirez,,"funk, soul, latin, cumbia, ranchera",17e631bf-3047-4eea-8d84-c950717bbf2d
Canta pa'lante y pa'tras,Album,Joseíto Mateo,,"latin, merengue, cumbia, bolero, boogaloo, guaracha",32291712-8650-4673-ac9b-98ba1d04c949
