titulo,tipo,artista,fecha-lanzamiento,generos,id
Al Ritmo de los Wembler’s,Album,Los Wembler's de Iquitos,1972,cumbia amazónica,0cef72c6-a3a0-4ae0-af71-6c7814081415
"La música brava!, vol. 11",Album,Don Medardo y sus Players,1975,cumbia,34d0f5fd-894b-4c09-8010-517f1d8c2812
Que chévere... vol 2,Album,Rodolfo Aicardi,1980,cumbia,46ff7192-f327-4fbe-9647-58ece683ec96
Hechizo,Album,Granizo Rojo,1990,cumbia,b25ae024-dd8e-4586-9c30-2ec53cda5b90
Camas Separadas,Album,Omar Shané,1991,cumbia,
Seis Para Triunfar,Album,Granizo Rojo,1993,cumbia,5e314046-d001-4785-b856-3bbceec74233
Los Destellos,Album,Los Destellos,1999,cumbia,
Cumbia villera,Album,Yerba Brava,2000,cumbia villera,b8726524-7470-42b0-a00a-0c8fff89e874
100% villero,Album,Yerba Brava,2001,cumbia villera,717c59b7-07ff-470f-b2d2-9071f77c6148
Esperado,Album,Los Diferentes,2003,cumbia,e8704218-07c7-4d86-a911-23eceffc2b8d
Solo,Album,Mario Luis,2007,cumbia,c432808e-0b3f-4036-a3eb-c9ce0dc2427c
¡Sonido Amazonico!,Album,Chicha Libre,2008,cumbia,bf8c4653-fd11-47a9-ab80-86d6b7a56631
The Roots of Chicha 2: Psychedelic Cumbias from Peru,Album,Various Artists,2010,cumbia peruana,075418d3-cea1-4aa3-b730-302656238405
Doo Wop (That Thing) / Entre rejas,Single,Quantic,2013,cumbia,7059a6de-3816-41c2-81da-261f4a246eea
Viernes cultural,Album,Los Ángeles Azules,2014,cumbia,06a7acd1-18ad-46b0-aa72-37376921682a
Canto,Album,Rebeca Lane,2014,cumbia,5cbda82c-c7bb-4825-b768-989f2f271744
En vivo en el Teatro Colón,Album,Orquesta Cumbia Grande,2014,cumbia,ced480fd-52cc-4d3f-a977-5b719af73969
Superbailable Vol. 1,Album,Orquesta Cumbia Grande,2015,cumbia,8efa88c2-0bbd-455f-b6c7-b5bebc56411d
Cumbias de oro,Album,El Búho,2015,cumbia,76f56551-1da0-4aa5-8459-ac81aa8a6a93
Bailazo,Album,Rolando Bruno,2015,cumbia,4eb49f9b-d0b8-4289-86cb-3b527e459e08
Alma mestiza,Album,Rebeca Lane,2016,cumbia,15401db7-6385-4b25-9fda-3f47d39377cc
Perreo Maluco,Album,Bigote,2016,cumbia,ce835035-c8c3-4b14-bc11-ce79b12c0132
Balkumbia,Album,Balkumbia,2016,cumbia,b833a152-8e1b-4f3e-9e4b-3e07dfb3e721
Mi niña mujer,Single,Los Ángeles Azules,2016,cumbia,840a859b-8f65-4eca-8e78-07d03203cc71
Mezcla,Album,M.A.K.U. Soundsystem,2016,cumbia,e279cf7a-ff59-4c19-aafd-0bbb27c4e2a3
Down in the Basement,EP,The Mauskovic Dance Band,2018,cumbia,74e4f39d-ccac-494d-aa4f-c4ea1b80538c
"Balkumbia, Vol. 2",Album,Balkumbia,2018,cumbia,75b32e00-46d6-4f20-bf6a-9a0e5c82a9b7
Moontribe,Album,Moontribe,2018,cumbia,6b25693f-1bed-4d51-a338-ffb4eb989bf1
Superbailable Vol. 2,Album,Orquesta Cumbia Grande,2019,cumbia,bd4367fd-0066-4387-8d14-740ff9a365e5
El Indio Conakry,Album,La Rueda,2019,cumbia,9d292b21-6c2d-4336-85ba-8d3038ca85da
Salida de Emergencia,Album,Ruth Vazquez,2021,cumbia mexicana,33a77823-5101-4ce7-a8b4-15c4c2e64359
"Straight from the Decks, Vol. 2",Album,Guts,2021,cumbia,e4191263-a580-4349-8c87-ff964d723e5b
Saturno 2000 - La Rebajada De Los Sonideros 1962-1983,Album,Various Artists,2022,cumbia,da46db19-962c-4013-9b0b-2fc479b6d193
La Estrella,Album,Chancha Vía Circuito,2022,digital cumbia,41005244-1e91-4533-92b4-56e1f679618b
Los Trotamundos del Sabor,Album,Son Palenque,2022,cumbia,8a2db536-6046-416b-aaa6-2ce2f8fe6e2f
Mala Suerte Album,Album,Balkumbia,2022,cumbia,bc286f76-9d30-4ba2-8094-ed86153ec8a6
Cismo,EP,Reza,2022,cumbia,829736a2-5043-4c32-be54-6d405e2178a3
Ecuatoriana: El Universo de Polibio Mayorga 1969–1981,Album,Various Artists,2023,cumbia,11214dc0-4fd1-406b-a149-499f8c084935
Chimborazo,Album,Son Rompe Pera,2023,cumbia,88fd3d0d-27e6-49e1-b00e-18e4866ee2b7
Cumbia y amor,Album,Guaynaa,2025,cumbia,254be9f7-c456-4fa7-baac-ad4f9580136b
Ida Y Vuelta,Album,Chiva Rumbera,2025,cumbia,bedf61c0-5b75-4c89-9d59-eff6df2a4c5e
