instrumento_nombre,instrumento,nota,nota_nombre,volumen,empieza,dura
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,-1,Silencio,0.0,0.0,252.62107368333335
Percussion,-1,65,F4,86.0,1.8947370000000001,0.15789475000000008
Percussion,-1,65,F4,86.0,1.8947370000000001,0.15789475000000008
Percussion,-1,65,F4,86.0,1.8947370000000001,0.15789475000000008
Percussion,-1,65,F4,86.0,1.8947370000000001,0.15789475000000008
Percussion,-1,-1,Silencio,0.0,2.05263175,0.15789475000000008
Percussion,-1,-1,Silencio,0.0,2.05263175,0.15789475000000008
Percussion,-1,-1,Silencio,0.0,2.05263175,0.15789475000000008
Percussion,-1,-1,Silencio,0.0,2.05263175,0.15789475000000008
Percussion,-1,66,F#4,86.0,2.2105265000000003,0.15789474999999964
Percussion,-1,66,F#4,86.0,2.2105265000000003,0.15789474999999964
Percussion,-1,66,F#4,86.0,2.2105265000000003,0.15789474999999964
Percussion,-1,66,F#4,86.0,2.2105265000000003,0.15789474999999964
Percussion,-1,65,F4,86.0,2.36842125,0.15789475000000008
Percussion,-1,65,F4,86.0,2.36842125,0.15789475000000008
Percussion,-1,65,F4,86.0,2.36842125,0.15789475000000008
Percussion,-1,65,F4,86.0,2.36842125,0.15789475000000008
Percussion,-1,48,C#3,64.0,2.526316,0.15263159166666673
Percussion,-1,48,C#3,64.0,2.526316,0.15263159166666673
Percussion,-1,48,C#3,64.0,2.526316,0.15263159166666673
Percussion,-1,48,C#3,64.0,2.526316,0.15263159166666673
Percussion,-1,-1,Silencio,0.0,2.6789475916666667,0.16315790833333343
Percussion,-1,-1,Silencio,0.0,2.6789475916666667,0.16315790833333343
Percussion,-1,-1,Silencio,0.0,2.6789475916666667,0.16315790833333343
Percussion,-1,-1,Silencio,0.0,2.6789475916666667,0.16315790833333343
Percussion,-1,54,F#3,63.0,2.8421055,0.15000001250000006
Percussion,-1,54,F#3,63.0,2.8421055,0.15000001250000006
Percussion,-1,54,F#3,63.0,2.8421055,0.15000001250000006
Percussion,-1,54,F#3,63.0,2.8421055,0.15000001250000006
Percussion,-1,50,D#3,50.0,3.0000002500000007,0.14736843333333338
Percussion,-1,50,D#3,50.0,3.0000002500000007,0.14736843333333338
Percussion,-1,50,D#3,50.0,3.0000002500000007,0.14736843333333338
Percussion,-1,50,D#3,50.0,3.0000002500000007,0.14736843333333338
Percussion,-1,49,C#3,61.0,3.1578950000000003,0.1515789599999997
Percussion,-1,49,C#3,61.0,3.1578950000000003,0.1515789599999997
Percussion,-1,49,C#3,61.0,3.1578950000000003,0.1515789599999997
Percussion,-1,49,C#3,61.0,3.1578950000000003,0.1515789599999997
Percussion,-1,43,G2,33.0,3.31578975,0.12631579999999998
Percussion,-1,43,G2,33.0,3.31578975,0.12631579999999998
Percussion,-1,43,G2,33.0,3.31578975,0.12631579999999998
Percussion,-1,-1,Silencio,0.0,3.44210555,0.031578950000000106
Percussion,-1,54,F#3,66.0,3.4736845,0.07894737500000026
Percussion,-1,54,F#3,66.0,3.4736845,0.07894737500000026
Percussion,-1,41,F2,22.0,3.5526318750000003,0.07894737499999982
Percussion,-1,41,F2,22.0,3.5526318750000003,0.07894737499999982
Percussion,-1,50,D#3,50.0,3.63157925,0.07894737499999982
Percussion,-1,50,D#3,50.0,3.63157925,0.07894737499999982
Percussion,-1,41,F2,25.0,3.710526625,0.07894737499999982
Percussion,-1,41,F2,25.0,3.710526625,0.07894737499999982
Percussion,-1,48,C#3,64.0,3.789474,0.15157896000000007
Percussion,-1,48,C#3,64.0,3.789474,0.15157896000000007
Percussion,-1,48,C#3,64.0,3.789474,0.15157896000000007
Percussion,-1,48,C#3,64.0,3.789474,0.15157896000000007
Percussion,-1,-1,Silencio,0.0,3.94105296,0.16421054000000046
Percussion,-1,-1,Silencio,0.0,3.94105296,0.16421054000000046
Percussion,-1,-1,Silencio,0.0,3.94105296,0.16421054000000046
Percussion,-1,-1,Silencio,0.0,3.94105296,0.16421054000000046
Percussion,-1,54,F#3,71.0,4.1052635,0.1500000124999996
Percussion,-1,54,F#3,71.0,4.1052635,0.1500000124999996
Percussion,-1,54,F#3,71.0,4.1052635,0.1500000124999996
Percussion,-1,54,F#3,71.0,4.1052635,0.1500000124999996
Percussion,-1,55,G#3,69.0,4.26315825,0.15789475000000053
Percussion,-1,55,G#3,69.0,4.26315825,0.15789475000000053
Percussion,-1,55,G#3,69.0,4.26315825,0.15789475000000053
Percussion,-1,55,G#3,69.0,4.26315825,0.15789475000000053
Percussion,-1,50,D#3,73.0,4.421053000000001,0.15789474999999964
Percussion,-1,50,D#3,73.0,4.421053000000001,0.15789474999999964
Percussion,-1,50,D#3,73.0,4.421053000000001,0.15789474999999964
Percussion,-1,50,D#3,73.0,4.421053000000001,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,4.57894775,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,4.57894775,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,4.57894775,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,4.57894775,0.15789474999999964
Percussion,-1,54,F#3,73.0,4.7368425,0.07894737500000026
Percussion,-1,54,F#3,73.0,4.7368425,0.07894737500000026
Percussion,-1,43,G2,22.0,4.815789875,0.07894737500000026
Percussion,-1,43,G2,22.0,4.815789875,0.07894737500000026
Percussion,-1,51,D#3,55.0,4.89473725,0.07894737500000026
Percussion,-1,51,D#3,55.0,4.89473725,0.07894737500000026
Percussion,-1,43,G2,22.0,4.973684625000001,0.07894737499999938
Percussion,-1,43,G2,22.0,4.973684625000001,0.07894737499999938
Percussion,-1,50,D#3,66.0,5.052632,0.15789475000000053
Percussion,-1,50,D#3,66.0,5.052632,0.15789475000000053
Percussion,-1,50,D#3,66.0,5.052632,0.15789475000000053
Percussion,-1,50,D#3,66.0,5.052632,0.15789475000000053
Percussion,-1,-1,Silencio,0.0,5.2105267500000005,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,5.2105267500000005,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,5.2105267500000005,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,5.2105267500000005,0.15789474999999964
Percussion,-1,58,A#3,73.0,5.3684215,0.15789474999999964
Percussion,-1,58,A#3,73.0,5.3684215,0.15789474999999964
Percussion,-1,58,A#3,73.0,5.3684215,0.15789474999999964
Percussion,-1,58,A#3,73.0,5.3684215,0.15789474999999964
Percussion,-1,55,G#3,59.0,5.52631625,0.15789475000000053
Percussion,-1,55,G#3,59.0,5.52631625,0.15789475000000053
Percussion,-1,55,G#3,59.0,5.52631625,0.15789475000000053
Percussion,-1,55,G#3,59.0,5.52631625,0.15789475000000053
Percussion,-1,49,C#3,58.0,5.684211,0.07894737500000026
Percussion,-1,49,C#3,58.0,5.684211,0.07894737500000026
Percussion,-1,41,F2,20.0,5.763158375000001,0.07894737499999938
Percussion,-1,41,F2,20.0,5.763158375000001,0.07894737499999938
Percussion,-1,43,G2,17.0,5.84210575,0.07894737500000026
Percussion,-1,43,G2,17.0,5.84210575,0.07894737500000026
Percussion,-1,41,F2,26.0,5.921053125,0.07894737500000026
Percussion,-1,41,F2,26.0,5.921053125,0.07894737500000026
Percussion,-1,58,A#3,80.0,6.000000500000001,0.15789474999999875
Percussion,-1,58,A#3,80.0,6.000000500000001,0.15789474999999875
Percussion,-1,58,A#3,80.0,6.000000500000001,0.15789474999999875
Percussion,-1,58,A#3,80.0,6.000000500000001,0.15789474999999875
Percussion,-1,55,G#3,66.0,6.15789525,0.15789475000000053
Percussion,-1,55,G#3,66.0,6.15789525,0.15789475000000053
Percussion,-1,55,G#3,66.0,6.15789525,0.15789475000000053
Percussion,-1,55,G#3,66.0,6.15789525,0.15789475000000053
Percussion,-1,50,D#3,72.0,6.315790000000001,0.15789474999999964
Percussion,-1,50,D#3,72.0,6.315790000000001,0.15789474999999964
Percussion,-1,50,D#3,72.0,6.315790000000001,0.15789474999999964
Percussion,-1,50,D#3,72.0,6.315790000000001,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,6.47368475,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,6.47368475,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,6.47368475,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,6.47368475,0.15789474999999964
Percussion,-1,58,A#3,84.0,6.6315795,0.15789475000000053
Percussion,-1,58,A#3,84.0,6.6315795,0.15789475000000053
Percussion,-1,58,A#3,84.0,6.6315795,0.15789475000000053
Percussion,-1,58,A#3,84.0,6.6315795,0.15789475000000053
Percussion,-1,55,G#3,69.0,6.7894742500000005,0.15789474999999964
Percussion,-1,55,G#3,69.0,6.7894742500000005,0.15789474999999964
Percussion,-1,55,G#3,69.0,6.7894742500000005,0.15789474999999964
Percussion,-1,55,G#3,69.0,6.7894742500000005,0.15789474999999964
Percussion,-1,50,D#3,73.0,6.947369,0.15789475000000053
Percussion,-1,50,D#3,73.0,6.947369,0.15789475000000053
Percussion,-1,50,D#3,73.0,6.947369,0.15789475000000053
Percussion,-1,50,D#3,73.0,6.947369,0.15789475000000053
Percussion,-1,-1,Silencio,0.0,7.105263750000001,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,7.105263750000001,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,7.105263750000001,0.15789474999999964
Percussion,-1,-1,Silencio,0.0,7.105263750000001,0.15789474999999964
Percussion,-1,58,A#3,89.0,7.2631585,0.15789474999999964
Percussion,-1,58,A#3,89.0,7.2631585,0.15789474999999964
Percussion,-1,58,A#3,89.0,7.2631585,0.15789474999999964
Percussion,-1,58,A#3,89.0,7.2631585,0.15789474999999964
Percussion,-1,55,G#3,72.0,7.42105325,0.15789475000000053
Percussion,-1,55,G#3,72.0,7.42105325,0.15789475000000053
