instrumento_nombre,instrumento,nota,nota_nombre,volumen,dura,empieza,termina
Trumpet,56,67,G4,127,0.06880737500000045,6.7431227499999995,6.811930125
Trumpet,56,71,B4,127,0.06880737500000045,6.7431227499999995,6.811930125
Trumpet,56,74,D5,127,0.06880737500000045,7.0183522499999995,7.087159625
Trumpet,56,71,B4,127,0.06880737500000045,7.0183522499999995,7.087159625
Trumpet,56,71,B4,108,0.06880737500000045,7.1559669999999995,7.224774375
Trumpet,56,67,G4,127,0.06880737500000045,7.1559669999999995,7.224774375
Trumpet,56,74,D5,127,0.06880737500000045,7.2935817499999995,7.362389125
Trumpet,56,71,B4,124,0.06880737500000045,7.2935817499999995,7.362389125
Trumpet,56,67,G4,127,0.06880737500000045,7.4311964999999995,7.500003875
Trumpet,56,71,B4,90,0.06880737500000045,7.4311964999999995,7.500003875
Trumpet,56,74,D5,127,0.06880737500000045,7.5688112499999995,7.637618625
Trumpet,56,71,B4,112,0.06880737500000045,7.5688112499999995,7.637618625
Trumpet,56,72,C5,127,0.06880737500000045,7.7064259999999996,7.775233375
Trumpet,56,76,E5,127,0.06880737500000045,7.7064259999999996,7.775233375
Trumpet,56,69,A4,127,0.06880737500000045,7.84404075,7.912848125
Trumpet,56,72,C5,127,0.06880737500000045,7.84404075,7.912848125
Trumpet,56,69,A4,86,0.06880737500000045,8.11927025,8.188077625
Trumpet,56,66,F#4,119,0.06880737500000045,8.11927025,8.188077625
Trumpet,56,69,A4,127,0.06880737499999867,8.256885,8.325692375
Trumpet,56,72,C5,127,0.06880737499999867,8.256885,8.325692375
Trumpet,56,72,C5,127,0.06880737500000045,8.39449975,8.463307125
Trumpet,56,69,A4,127,0.06880737500000045,8.39449975,8.463307125
Trumpet,56,76,E5,99,0.06880737499999867,8.5321145,8.600921875
Trumpet,56,72,C5,105,0.06880737499999867,8.5321145,8.600921875
Trumpet,56,76,E5,90,0.06880737500000045,8.66972925,8.738536625
Trumpet,56,72,C5,105,0.06880737500000045,8.66972925,8.738536625
Trumpet,56,74,D5,127,0.06880737499999867,8.807344,8.876151375
Trumpet,56,71,B4,127,0.06880737499999867,8.807344,8.876151375
Trumpet,56,67,G4,127,0.06880737500000045,8.94495875,9.013766125
Trumpet,56,71,B4,127,0.06880737500000045,8.94495875,9.013766125
Trumpet,56,67,G4,127,0.06880737500000045,9.22018825,9.288995625
Trumpet,56,62,D4,127,0.06880737500000045,9.22018825,9.288995625
Trumpet,56,71,B4,127,0.06880737499999867,9.357803,9.426610375
Trumpet,56,67,G4,127,0.06880737499999867,9.357803,9.426610375
Trumpet,56,71,B4,127,0.06880737500000045,9.49541775,9.564225125
Trumpet,56,67,G4,127,0.06880737500000045,9.49541775,9.564225125
Trumpet,56,71,B4,119,0.06880737499999867,9.6330325,9.701839875
Trumpet,56,74,D5,127,0.06880737499999867,9.6330325,9.701839875
Trumpet,56,74,D5,112,0.06880737500000045,9.77064725,9.839454625
Trumpet,56,71,B4,127,0.06880737500000045,9.77064725,9.839454625
Trumpet,56,71,B4,88,0.06880737499999867,9.908262,9.977069375
Trumpet,56,69,A4,127,0.06880737499999867,9.908262,9.977069375
Trumpet,56,72,C5,127,0.06880737499999867,9.908262,9.977069375
Trumpet,56,66,F#4,127,0.06880737500000045,10.04587675,10.114684125
Trumpet,56,69,A4,127,0.06880737500000045,10.04587675,10.114684125
Trumpet,56,62,D4,127,0.06880737500000045,10.32110625,10.389913625
Trumpet,56,63,D#4,127,0.1376147500000009,10.458720999999999,10.59633575
Trumpet,56,64,E4,127,0.1376147500000009,10.527528375,10.665143125
Trumpet,56,63,D#4,112,0.13761474999999912,10.665143125,10.802757875
Trumpet,56,62,D4,119,0.1376147500000009,10.733950499999999,10.87156525
Trumpet,56,67,G4,127,0.06880737500000045,11.14679475,11.215602125
Trumpet,56,71,B4,127,0.06880737500000045,11.14679475,11.215602125
Trumpet,56,74,D5,127,0.06880737500000045,11.42202425,11.490831625
Trumpet,56,71,B4,127,0.06880737500000045,11.42202425,11.490831625
Trumpet,56,71,B4,108,0.06880737500000045,11.559638999999999,11.628446375
Trumpet,56,67,G4,127,0.06880737500000045,11.559638999999999,11.628446375
Trumpet,56,74,D5,127,0.06880737500000045,11.69725375,11.766061125
Trumpet,56,71,B4,124,0.06880737500000045,11.69725375,11.766061125
Trumpet,56,67,G4,127,0.06880737500000045,11.834868499999999,11.903675875
Trumpet,56,71,B4,90,0.06880737500000045,11.834868499999999,11.903675875
Trumpet,56,74,D5,127,0.06880737500000045,11.97248325,12.041290625
Trumpet,56,71,B4,112,0.06880737500000045,11.97248325,12.041290625
Trumpet,56,72,C5,127,0.06880737500000045,12.110097999999999,12.178905375
Trumpet,56,76,E5,127,0.06880737500000045,12.110097999999999,12.178905375
Trumpet,56,69,A4,127,0.06880737500000045,12.24771275,12.316520125
Trumpet,56,72,C5,127,0.06880737500000045,12.24771275,12.316520125
Trumpet,56,69,A4,86,0.06880737500000045,12.52294225,12.591749625
Trumpet,56,66,F#4,119,0.06880737500000045,12.52294225,12.591749625
Trumpet,56,69,A4,127,0.06880737500000045,12.660556999999999,12.729364375
Trumpet,56,72,C5,127,0.06880737500000045,12.660556999999999,12.729364375
Trumpet,56,72,C5,127,0.06880737500000045,12.79817175,12.866979125
Trumpet,56,69,A4,127,0.06880737500000045,12.79817175,12.866979125
Trumpet,56,76,E5,99,0.06880737500000045,12.935786499999999,13.004593875
Trumpet,56,72,C5,105,0.06880737500000045,12.935786499999999,13.004593875
Trumpet,56,76,E5,90,0.06880737500000045,13.07340125,13.142208625
Trumpet,56,72,C5,105,0.06880737500000045,13.07340125,13.142208625
Trumpet,56,74,D5,127,0.06880737500000045,13.211015999999999,13.279823375
Trumpet,56,71,B4,127,0.06880737500000045,13.211015999999999,13.279823375
Trumpet,56,67,G4,127,0.06880737500000045,13.34863075,13.417438125
Trumpet,56,71,B4,127,0.06880737500000045,13.34863075,13.417438125
Trumpet,56,67,G4,127,0.06880737500000045,13.62386025,13.692667625
Trumpet,56,62,D4,127,0.06880737500000045,13.62386025,13.692667625
Trumpet,56,71,B4,127,0.06880737500000045,13.761474999999999,13.830282375
Trumpet,56,67,G4,127,0.06880737500000045,13.761474999999999,13.830282375
Trumpet,56,71,B4,127,0.06880737500000045,13.89908975,13.967897125
Trumpet,56,67,G4,127,0.06880737500000045,13.89908975,13.967897125
Trumpet,56,71,B4,119,0.06880737500000045,14.036704499999999,14.105511875
Trumpet,56,74,D5,127,0.06880737500000045,14.036704499999999,14.105511875
Trumpet,56,74,D5,112,0.06880737500000045,14.17431925,14.243126625
Trumpet,56,71,B4,127,0.06880737500000045,14.17431925,14.243126625
Trumpet,56,71,B4,88,0.06880737500000045,14.311933999999999,14.380741375
Trumpet,56,69,A4,127,0.06880737500000045,14.311933999999999,14.380741375
Trumpet,56,72,C5,127,0.06880737500000045,14.311933999999999,14.380741375
Trumpet,56,66,F#4,127,0.06880737500000045,14.44954875,14.518356125
Trumpet,56,69,A4,127,0.06880737500000045,14.44954875,14.518356125
Trumpet,56,62,D4,124,0.06880737500000045,14.72477825,14.793585625
Trumpet,56,63,D#4,127,0.1376147500000009,14.862392999999999,15.00000775
Trumpet,56,64,E4,124,0.1376147500000009,14.931200375,15.068815125
Trumpet,56,63,D#4,119,0.13761474999999912,15.068815125,15.206429875
Trumpet,56,62,D4,124,0.1376147500000009,15.137622499999999,15.27523725
Trumpet,56,69,A4,127,0.06880737499999867,16.92661425,16.995421625
Trumpet,56,57,A3,127,0.1376147500000009,16.92661425,17.064229
Trumpet,56,60,C4,127,0.06880737499999867,17.064229,17.133036375
Trumpet,56,72,C5,127,0.13761474999999734,17.064229,17.20184375
Trumpet,56,74,D5,127,1.4449548750000005,17.3394585,18.784413375
Trumpet,56,62,D4,127,1.4449548750000005,17.3394585,18.784413375
Trumpet,56,74,D5,127,0.06880737499999867,19.12845025,19.197257625
Trumpet,56,62,D4,127,0.06880737499999867,19.12845025,19.197257625
Trumpet,56,78,F#5,127,0.20642212499999957,19.266065,19.472487125
Trumpet,56,66,F#4,127,0.20642212499999957,19.266065,19.472487125
Trumpet,56,74,D5,127,1.4449548750000005,19.5412945,20.986249375
Trumpet,56,62,D4,127,1.4449548750000005,19.5412945,20.986249375
Trumpet,56,57,A3,119,0.06880737499999867,21.33028625,21.399093625
Trumpet,56,69,A4,105,0.06880737499999867,21.33028625,21.399093625
Trumpet,56,60,C4,127,0.06880737500000222,21.467900999999998,21.536708375
Trumpet,56,72,C5,127,0.1376147500000009,21.467900999999998,21.60551575
Trumpet,56,62,D4,127,1.4449548750000005,21.7431305,23.188085375
Trumpet,56,74,D5,127,1.4449548750000005,21.7431305,23.188085375
Trumpet,56,74,D5,127,0.06880737499999867,23.53212225,23.600929625
Trumpet,56,62,D4,108,0.06880737499999867,23.53212225,23.600929625
Trumpet,56,78,F#5,127,0.20642212500000312,23.669736999999998,23.876159125
Trumpet,56,66,F#4,127,0.20642212500000312,23.669736999999998,23.876159125
Trumpet,56,74,D5,127,0.1376147500000009,23.9449665,24.08258125
Trumpet,56,62,D4,127,0.20642212499999957,23.9449665,24.151388625
Trumpet,56,79,G5,127,0.1376147500000009,24.220195999999998,24.35781075
Trumpet,56,71,B4,127,0.1376147500000009,24.220195999999998,24.35781075
Trumpet,56,62,D4,119,0.06880737499999157,72.79820275,72.867010125
Trumpet,56,66,F#4,119,0.06880737499999157,72.79820275,72.867010125
Trumpet,56,66,F#4,119,0.06880737500000578,72.9358175,73.004624875
Trumpet,56,62,D4,102,0.06880737500000578,72.9358175,73.004624875
Trumpet,56,69,A4,127,0.06880737500000578,73.07343225,73.142239625
Trumpet,56,66,F#4,112,0.06880737500000578,73.07343225,73.142239625
Trumpet,56,72,C5,127,0.13761474999999734,73.211047,73.34866174999999
Trumpet,56,69,A4,127,0.13761474999999734,73.211047,73.34866174999999
Trumpet,56,71,B4,127,0.06880737499999157,73.4862765,73.555083875
Trumpet,56,67,G4,127,0.06880737499999157,73.4862765,73.555083875
Trumpet,56,69,A4,127,0.06880737499999157,73.62389125,73.69269862499999
Trumpet,56,66,F#4,127,0.06880737499999157,73.62389125,73.69269862499999
Trumpet,56,71,B4,127,0.06880737500000578,73.761506,73.830313375
Trumpet,56,74,D5,127,0.06880737500000578,73.761506,73.830313375
Trumpet,56,67,G4,127,0.06880737500000578,74.03673549999999,74.105542875
Trumpet,56,71,B4,127,0.06880737500000578,74.03673549999999,74.105542875
Trumpet,56,62,D4,127,0.06880737499999157,74.311965,74.38077237499999
Trumpet,56,67,G4,127,0.06880737499999157,74.311965,74.38077237499999
Trumpet,56,71,B4,127,0.13761474999999734,74.5871945,74.72480924999999
Trumpet,56,67,G4,127,0.13761474999999734,74.5871945,74.72480924999999
Trumpet,56,62,D4,105,0.06880737499999157,75.00003875,75.068846125
Trumpet,56,66,F#4,119,0.06880737499999157,75.00003875,75.068846125
Trumpet,56,66,F#4,124,0.06880737500000578,75.1376535,75.206460875
Trumpet,56,62,D4,97,0.06880737500000578,75.1376535,75.206460875
Trumpet,56,69,A4,127,0.06880737500000578,75.27526825,75.344075625
Trumpet,56,66,F#4,108,0.06880737500000578,75.27526825,75.344075625
Trumpet,56,72,C5,127,0.06880737500000578,75.412883,75.481690375
Trumpet,56,69,A4,127,0.06880737500000578,75.412883,75.481690375
Trumpet,56,71,B4,127,0.06880737499999157,75.6881125,75.756919875
Trumpet,56,67,G4,102,0.06880737499999157,75.6881125,75.756919875
Trumpet,56,69,A4,127,0.06880737499999157,75.82572725,75.89453462499999
Trumpet,56,66,F#4,127,0.06880737499999157,75.82572725,75.89453462499999
Trumpet,56,71,B4,127,0.06880737500000578,75.963342,76.032149375
Trumpet,56,74,D5,127,0.06880737500000578,75.963342,76.032149375
Trumpet,56,71,B4,127,0.6880737500000009,76.23857149999999,76.92664524999999
Trumpet,56,67,G4,127,0.6880737500000009,76.23857149999999,76.92664524999999
Trumpet,56,62,D4,105,0.06880737499999157,77.20187475,77.270682125
Trumpet,56,66,F#4,127,0.06880737499999157,77.20187475,77.270682125
Trumpet,56,66,F#4,127,0.06880737499999157,77.3394895,77.40829687499999
Trumpet,56,62,D4,90,0.06880737499999157,77.3394895,77.40829687499999
Trumpet,56,69,A4,127,0.06880737500000578,77.47710425,77.545911625
Trumpet,56,66,F#4,127,0.06880737500000578,77.47710425,77.545911625
Trumpet,56,72,C5,127,0.20642212500000312,77.614719,77.821141125
Trumpet,56,69,A4,119,0.20642212500000312,77.614719,77.821141125
Trumpet,56,71,B4,127,0.06880737499999157,77.8899485,77.958755875
Trumpet,56,67,G4,90,0.06880737499999157,77.8899485,77.958755875
Trumpet,56,69,A4,127,0.06880737499999157,78.02756325,78.09637062499999
Trumpet,56,66,F#4,127,0.06880737499999157,78.02756325,78.09637062499999
Trumpet,56,74,D5,127,0.06880737500000578,78.165178,78.233985375
Trumpet,56,71,B4,127,0.06880737500000578,78.165178,78.233985375
Trumpet,56,67,G4,127,0.06880737500000578,78.44040749999999,78.509214875
Trumpet,56,71,B4,127,0.13761475000001155,78.44040749999999,78.57802225
Trumpet,56,62,D4,127,0.06880737499999157,78.715637,78.78444437499999
Trumpet,56,67,G4,124,0.06880737499999157,78.715637,78.78444437499999
Trumpet,56,67,G4,127,0.06880737500000578,78.9908665,79.059673875
Trumpet,56,71,B4,127,0.13761474999999734,78.9908665,79.12848125
Trumpet,56,62,D4,119,0.06880737499999157,79.40371075,79.472518125
Trumpet,56,66,F#4,124,0.06880737499999157,79.40371075,79.472518125
Trumpet,56,62,D4,99,0.06880737499999157,79.5413255,79.61013287499999
Trumpet,56,66,F#4,124,0.06880737499999157,79.5413255,79.61013287499999
Trumpet,56,69,A4,124,0.06880737500000578,79.67894025,79.747747625
Trumpet,56,66,F#4,105,0.06880737500000578,79.67894025,79.747747625
Trumpet,56,72,C5,127,0.20642212500000312,79.816555,80.022977125
Trumpet,56,69,A4,119,0.20642212500000312,79.816555,80.022977125
Trumpet,56,71,B4,112,0.06880737499999157,80.0917845,80.160591875
Trumpet,56,67,G4,94,0.06880737499999157,80.0917845,80.160591875
Trumpet,56,69,A4,127,0.06880737499999157,80.22939925,80.29820662499999
Trumpet,56,66,F#4,108,0.06880737499999157,80.22939925,80.29820662499999
Trumpet,56,74,D5,127,0.06880737500000578,80.367014,80.435821375
Trumpet,56,71,B4,127,0.06880737500000578,80.367014,80.435821375
Trumpet,56,79,G5,127,0.8256884999999983,80.64224349999999,81.46793199999999
Trumpet,56,67,G4,108,0.8256884999999983,80.64224349999999,81.46793199999999
Trumpet,56,67,G4,127,0.06880737499999157,86.00921875,86.078026125
Trumpet,56,71,B4,127,0.06880737499999157,86.00921875,86.078026125
Trumpet,56,74,D5,127,0.06880737500000578,86.28444825,86.353255625
Trumpet,56,71,B4,127,0.06880737500000578,86.28444825,86.353255625
Trumpet,56,71,B4,108,0.06880737500000578,86.422063,86.490870375
Trumpet,56,67,G4,127,0.06880737500000578,86.422063,86.490870375
Trumpet,56,74,D5,127,0.06880737500000578,86.55967774999999,86.628485125
Trumpet,56,71,B4,124,0.06880737500000578,86.55967774999999,86.628485125
Trumpet,56,67,G4,127,0.06880737499999157,86.6972925,86.766099875
Trumpet,56,71,B4,90,0.06880737499999157,86.6972925,86.766099875
Trumpet,56,74,D5,127,0.06880737499999157,86.83490725,86.90371462499999
Trumpet,56,71,B4,112,0.06880737499999157,86.83490725,86.90371462499999
Trumpet,56,72,C5,127,0.06880737500000578,86.972522,87.041329375
Trumpet,56,76,E5,127,0.06880737500000578,86.972522,87.041329375
Trumpet,56,69,A4,127,0.06880737500000578,87.11013675,87.178944125
Trumpet,56,72,C5,127,0.06880737500000578,87.11013675,87.178944125
Trumpet,56,69,A4,86,0.06880737499999157,87.38536625,87.454173625
Trumpet,56,66,F#4,119,0.06880737499999157,87.38536625,87.454173625
Trumpet,56,69,A4,127,0.06880737499999157,87.522981,87.591788375
Trumpet,56,72,C5,127,0.06880737499999157,87.522981,87.591788375
Trumpet,56,72,C5,127,0.06880737499999157,87.66059575,87.72940312499999
Trumpet,56,69,A4,127,0.06880737499999157,87.66059575,87.72940312499999
Trumpet,56,76,E5,99,0.06880737500000578,87.7982105,87.867017875
Trumpet,56,72,C5,105,0.06880737500000578,87.7982105,87.867017875
Trumpet,56,76,E5,90,0.06880737500000578,87.93582525,88.004632625
Trumpet,56,72,C5,105,0.06880737500000578,87.93582525,88.004632625
Trumpet,56,74,D5,127,0.06880737500000578,88.07343999999999,88.142247375
Trumpet,56,71,B4,127,0.06880737500000578,88.07343999999999,88.142247375
Trumpet,56,67,G4,127,0.06880737499999157,88.21105475,88.279862125
Trumpet,56,71,B4,127,0.06880737499999157,88.21105475,88.279862125
Trumpet,56,67,G4,127,0.06880737500000578,88.48628425,88.555091625
Trumpet,56,62,D4,127,0.06880737500000578,88.48628425,88.555091625
Trumpet,56,71,B4,127,0.06880737500000578,88.623899,88.692706375
Trumpet,56,67,G4,127,0.06880737500000578,88.623899,88.692706375
Trumpet,56,71,B4,127,0.06880737500000578,88.76151374999999,88.830321125
Trumpet,56,67,G4,127,0.06880737500000578,88.76151374999999,88.830321125
Trumpet,56,71,B4,119,0.06880737499999157,88.8991285,88.967935875
Trumpet,56,74,D5,127,0.06880737499999157,88.8991285,88.967935875
Trumpet,56,74,D5,112,0.06880737499999157,89.03674325,89.10555062499999
Trumpet,56,71,B4,127,0.06880737499999157,89.03674325,89.10555062499999
Trumpet,56,71,B4,88,0.06880737500000578,89.174358,89.243165375
Trumpet,56,69,A4,127,0.06880737500000578,89.174358,89.243165375
Trumpet,56,72,C5,127,0.06880737500000578,89.174358,89.243165375
Trumpet,56,66,F#4,127,0.06880737500000578,89.31197275,89.380780125
Trumpet,56,69,A4,127,0.06880737500000578,89.31197275,89.380780125
Trumpet,56,62,D4,127,0.06880737499999157,89.58720225,89.656009625
Trumpet,56,63,D#4,127,0.13761474999999734,89.724817,89.86243175
Trumpet,56,64,E4,127,0.13761474999999734,89.793624375,89.93123912499999
Trumpet,56,63,D#4,112,0.13761475000001155,89.93123912499999,90.068853875
Trumpet,56,62,D4,119,0.13761474999999734,90.0000465,90.13766125
Trumpet,56,67,G4,127,0.06880737499999157,90.41289075,90.481698125
Trumpet,56,71,B4,127,0.06880737499999157,90.41289075,90.481698125
Trumpet,56,74,D5,127,0.06880737500000578,90.68812025,90.756927625
Trumpet,56,71,B4,127,0.06880737500000578,90.68812025,90.756927625
Trumpet,56,71,B4,108,0.06880737500000578,90.825735,90.894542375
Trumpet,56,67,G4,127,0.06880737500000578,90.825735,90.894542375
Trumpet,56,74,D5,127,0.06880737500000578,90.96334974999999,91.032157125
Trumpet,56,71,B4,124,0.06880737500000578,90.96334974999999,91.032157125
Trumpet,56,67,G4,127,0.06880737499999157,91.1009645,91.169771875
Trumpet,56,71,B4,90,0.06880737499999157,91.1009645,91.169771875
