instrumento_nombre,instrumento,nota,nota_nombre,volumen,dura,empieza,termina
Percussion,-1,44,G#2,64,0.21899562500000003,0.9448799999999999,1.163875625
Percussion,-1,44,G#2,64,0.2189956249999998,1.41732,1.6363156249999997
Percussion,-1,44,G#2,64,0.2189956249999998,1.8897599999999999,2.1087556249999997
Percussion,-1,52,E3,64,0.2731293749999999,3.7795199999999998,4.052649375
Percussion,-1,62,D4,64,0.2189956250000007,4.015739999999999,4.234735625
Percussion,-1,70,A#4,64,0.11072812499999962,4.13385,4.244578124999999
Percussion,-1,52,E3,64,0.2731293749999999,4.2519599999999995,4.525089374999999
Percussion,-1,63,D#4,64,0.2189956249999998,4.48818,4.707175625
Percussion,-1,70,A#4,64,0.11072812499999962,4.6062899999999996,4.717018124999999
Percussion,-1,52,E3,64,0.2731293749999999,4.724399999999999,4.997529374999999
Percussion,-1,62,D4,64,0.2189956249999998,4.96062,5.179615624999999
Percussion,-1,70,A#4,64,0.11072812500000051,5.078729999999999,5.189458125
Percussion,-1,52,E3,64,0.27312937500000034,5.196839999999999,5.469969375
Percussion,-1,63,D#4,64,0.2189956249999998,5.433059999999999,5.652055624999999
Percussion,-1,70,A#4,64,0.11072812500000051,5.551169999999999,5.661898125
Percussion,-1,52,E3,64,0.2731293749999999,5.66928,5.9424093749999995
Percussion,-1,62,D4,64,0.2189956249999998,5.905499999999999,6.124495624999999
Percussion,-1,70,A#4,64,0.11072812499999962,6.02361,6.134338124999999
Percussion,-1,52,E3,64,0.2731293749999999,6.141719999999999,6.414849374999999
Percussion,-1,63,D#4,64,0.2189956250000007,6.377939999999999,6.5969356249999995
Percussion,-1,70,A#4,64,0.11072812499999962,6.496049999999999,6.606778124999999
Percussion,-1,52,E3,64,0.2731293749999999,6.614159999999999,6.887289374999999
Percussion,-1,62,D4,64,0.2189956249999998,6.8503799999999995,7.069375624999999
Percussion,-1,70,A#4,64,0.11072812499999962,6.968489999999999,7.079218124999999
Percussion,-1,52,E3,64,0.2731293749999999,7.086599999999999,7.359729374999999
Percussion,-1,63,D#4,64,0.2189956249999998,7.322819999999999,7.541815624999999
Percussion,-1,70,A#4,64,0.11072812500000051,7.440929999999999,7.551658124999999
Percussion,-1,52,E3,64,0.27312937499999945,7.5590399999999995,7.832169374999999
Percussion,-1,62,D4,64,0.2189956249999998,7.795259999999999,8.014255624999999
Percussion,-1,70,A#4,64,0.11072812499999962,7.913369999999999,8.024098124999998
Percussion,-1,52,E3,64,0.2731293749999999,8.031479999999998,8.304609374999998
Percussion,-1,63,D#4,64,0.2189956249999998,8.2677,8.486695625
Percussion,-1,70,A#4,64,0.11072812499999962,8.38581,8.496538124999999
Percussion,-1,52,E3,64,0.2731293749999999,8.503919999999999,8.777049374999999
Percussion,-1,62,D4,64,0.2189956249999998,8.740139999999998,8.959135624999998
Percussion,-1,70,A#4,64,0.1107281250000014,8.858249999999998,8.968978125
Percussion,-1,52,E3,64,0.2731293749999999,8.97636,9.249489375
Percussion,-1,63,D#4,64,0.2189956249999998,9.212579999999999,9.431575624999999
Percussion,-1,70,A#4,64,0.11072812499999962,9.330689999999999,9.441418124999998
Percussion,-1,52,E3,64,0.2731293749999999,9.448799999999999,9.721929374999998
Percussion,-1,62,D4,64,0.21899562500000158,9.685019999999998,9.904015625
Percussion,-1,70,A#4,64,0.11072812499999962,9.80313,9.913858124999999
Percussion,-1,52,E3,64,0.2731293749999999,9.92124,10.194369374999999
Percussion,-1,63,D#4,64,0.2189956249999998,10.157459999999999,10.376455624999998
Percussion,-1,70,A#4,64,0.11072812499999962,10.275569999999998,10.386298124999998
Percussion,-1,52,E3,64,0.2731293750000008,10.393679999999998,10.666809375
Percussion,-1,62,D4,64,0.2189956249999998,10.6299,10.848895624999999
Percussion,-1,70,A#4,64,0.11072812499999962,10.748009999999999,10.858738124999999
Percussion,-1,52,E3,64,0.2731293749999999,10.866119999999999,11.139249374999999
Percussion,-1,63,D#4,64,0.2189956249999998,11.102339999999998,11.321335624999998
Percussion,-1,70,A#4,64,0.1107281250000014,11.220449999999998,11.331178125
Percussion,-1,52,E3,64,0.2731293749999999,11.33856,11.611689375
Percussion,-1,62,D4,64,0.2189956249999998,11.574779999999999,11.793775624999999
Percussion,-1,70,A#4,64,0.11072812499999962,11.692889999999998,11.803618124999998
Percussion,-1,52,E3,64,0.2731293749999999,11.810999999999998,12.084129374999998
Percussion,-1,63,D#4,64,0.2189956249999998,12.04722,12.266215625
Percussion,-1,70,A#4,64,0.11072812499999962,12.165329999999999,12.276058124999999
Percussion,-1,52,E3,64,0.2731293749999999,12.283439999999999,12.556569374999999
Percussion,-1,62,D4,64,0.2189956249999998,12.519659999999998,12.738655624999998
Percussion,-1,70,A#4,64,0.1107281250000014,12.637769999999998,12.748498125
Percussion,-1,52,E3,64,0.2731293750000008,12.755879999999998,13.029009374999998
Percussion,-1,63,D#4,64,0.2189956249999998,12.992099999999999,13.211095624999999
Percussion,-1,70,A#4,64,0.11072812499999962,13.110209999999999,13.220938124999998
Percussion,-1,52,E3,64,0.2731293749999999,13.228319999999998,13.501449374999998
Percussion,-1,62,D4,64,0.2189956249999998,13.464539999999998,13.683535624999998
Percussion,-1,70,A#4,64,0.11072812499999962,13.58265,13.693378124999999
Percussion,-1,52,E3,64,0.2731293749999999,13.700759999999999,13.973889374999999
Percussion,-1,63,D#4,64,0.2189956249999998,13.936979999999998,14.155975624999998
Percussion,-1,70,A#4,64,0.11072812499999962,14.055089999999998,14.165818124999998
Percussion,-1,52,E3,64,0.2731293749999999,14.173199999999998,14.446329374999998
Percussion,-1,62,D4,64,0.2189956249999998,14.409419999999999,14.628415624999999
Percussion,-1,70,A#4,64,0.11072812499999962,14.527529999999999,14.638258124999998
