instrumento,nota,volumen,dura,empieza,termina
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,37.0,84.0,0.6,0.0,0.6
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,-1.0,0.0,0.6,0.6,1.2
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,37.0,84.0,0.6000000000000001,1.2,1.8
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,-1.0,0.0,0.5999999999999999,1.8,2.4
-1.0,37.0,64.0,0.6000000000000001,2.4,3.0
-1.0,37.0,64.0,0.6000000000000001,2.4,3.0
-1.0,37.0,64.0,0.6000000000000001,2.4,3.0
-1.0,37.0,64.0,0.6000000000000001,2.4,3.0
-1.0,37.0,64.0,0.6000000000000001,2.4,3.0
