instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
-1.0,-1.0,0.0,2.474224,0.0,2.474224
