cancion_id,instrumento,tamano_segmento,grado_polinomio,f_nota,f_volumen,f_dura
0,-1,8,2,33.149563,46.896622,0.063245
0,-1,8,3,13.747087,19.622217,0.029960
0,-1,8,4,9.734724,13.561113,0.073420
0,-1,8,5,11.277909,15.870833,1.289761
0,-1,8,6,476.873077,673.245422,73.968575
0,-1,8,7,4977.164551,7026.718750,772.203064
0,-1,16,2,39.099258,56.186192,0.123078
0,-1,16,3,36.341026,52.362419,0.066252
0,-1,16,4,35.259190,50.344307,0.062162
0,-1,16,5,24.938164,35.965775,1.849143
0,-1,16,6,149.197800,210.653809,23.030071
0,-1,16,7,2416.710449,3411.297852,375.043915
0,-1,32,2,45.101238,62.556797,0.288134
0,-1,32,3,41.886921,60.690674,0.138863
0,-1,32,4,38.102108,54.343021,0.106440
0,-1,32,5,39.738338,56.902802,2.128858
0,-1,32,6,171.573456,242.238358,26.037374
0,-1,32,7,45704.914062,64638.136719,8142.294434
0,-1,64,2,47.241085,70.425865,0.647258
0,-1,64,3,46.379692,66.418198,0.309562
0,-1,64,4,44.752113,63.986031,0.184340
0,-1,64,5,46.059422,67.369110,2.614969
0,-1,64,6,237.935562,335.972839,36.447887
0,-1,64,7,71980.851562,102367.992188,11324.270508
0,-1,128,2,77.934921,114.704422,6.621741
0,-1,128,3,49.390171,75.349266,1.737868
0,-1,128,4,48.794044,73.562943,1.631275
0,-1,128,5,47.652451,71.488365,1.730395
0,-1,128,6,117.364716,167.657623,16.773182
0,-1,128,7,859.501953,1216.253540,133.499481
0,-1,256,2,111.145081,161.146774,11.308869
0,-1,256,3,85.060059,126.916779,7.238425
0,-1,256,4,52.788792,84.504089,2.538089
0,-1,256,5,53.462940,83.381058,3.383940
0,-1,256,6,214.133392,303.986603,32.447178
0,-1,256,7,1667.954834,2356.059814,259.362335
0,-1,512,2,271.798950,381.797974,37.434914
0,-1,512,3,152.890457,219.852310,16.120953
0,-1,512,4,110.561600,163.287552,10.598386
0,-1,512,5,94.841805,139.943344,8.961452
0,-1,512,6,369.967041,524.016296,56.789047
0,-1,512,7,158.185028,226.869370,22.976427
0,-1,1024,2,541.222778,762.646118,86.405922
0,-1,1024,3,340.200104,478.246368,43.571346
0,-1,1024,4,233.250641,331.010254,24.122320
0,-1,1024,5,199.269104,283.211517,21.633682
0,-1,1024,6,184.668854,263.864563,21.114363
0,-1,1024,7,218.937302,311.575256,28.314625
0,-1,2048,2,661.283936,930.235229,108.450012
0,-1,2048,3,558.170105,785.738464,81.483902
0,-1,2048,4,513.704468,722.799438,66.725609
0,-1,2048,5,373.169281,527.389160,42.128563
0,-1,2048,6,382.825928,541.496277,48.572617
0,-1,2048,7,-nan,-nan,-nan
0,0,8,2,23.160858,41.555134,0.384881
0,0,8,3,10.805500,18.663183,0.180585
0,0,8,4,6.263181,10.928937,1.802316
0,0,8,5,32.637760,58.250759,32.764019
0,0,8,6,1852.803833,3307.187744,1879.125366
0,0,8,7,19342.101562,34525.003906,19617.386719
0,0,16,2,31.092932,56.152065,1.114098
0,0,16,3,27.346113,46.700260,0.465295
0,0,16,4,23.765156,39.218044,1.234177
0,0,16,5,49.435242,87.168427,46.973122
0,0,16,6,576.918274,1029.831543,585.069702
0,0,16,7,9396.028320,16772.925781,9527.761719
0,0,32,2,44.789005,77.743820,1.723799
0,0,32,3,36.909904,64.483200,1.097428
0,0,32,4,35.443768,62.339283,1.352379
0,0,32,5,61.545090,107.965683,54.059795
0,0,32,6,652.650574,1165.042114,661.468140
0,0,32,7,201690.593750,359477.781250,207049.125000
0,0,64,2,60.925190,103.122787,8.956087
0,0,64,3,46.451077,84.570869,2.855242
0,0,64,4,43.696903,79.271873,2.627509
0,0,64,5,76.830193,138.236649,66.343330
0,0,64,6,913.503601,1630.756470,925.983887
0,0,64,7,285264.437500,509875.843750,287760.093750
0,0,128,2,83.308228,136.293579,30.994383
0,0,128,3,67.844513,114.400032,12.500276
0,0,128,4,63.794304,109.994644,9.939996
0,0,128,5,61.649326,112.049591,38.328300
0,0,128,6,422.370789,754.370789,425.678223
0,0,128,7,3344.670898,5969.562988,3391.678711
0,0,256,2,108.252342,177.247147,66.841751
0,0,256,3,90.924416,149.138550,38.437996
0,0,256,4,81.997902,134.860214,22.204607
0,0,256,5,101.232391,174.113617,70.187340
0,0,256,6,814.785339,1453.863525,823.403687
0,0,256,7,6498.689941,11600.124023,6591.916992
0,0,512,2,176.625305,287.750183,159.514847
0,0,512,3,123.735695,200.983383,88.901855
0,0,512,4,102.058899,165.725159,56.460564
0,0,512,5,120.247841,203.190475,87.742981
0,0,512,6,1420.466064,2531.540283,1436.736816
0,0,512,7,569.581360,1014.827148,572.097290
0,0,1024,2,257.063629,412.174469,325.861786
0,0,1024,3,168.200378,269.879059,178.490402
0,0,1024,4,137.167831,220.323654,119.753815
0,0,1024,5,130.327530,213.243622,105.848557
0,0,1024,6,346.512329,612.682068,341.729736
0,0,1024,7,590.337646,1049.714722,593.062256
0,0,2048,2,383.662903,671.033264,898.731628
0,0,2048,3,271.088989,440.142609,398.787781
0,0,2048,4,215.155426,350.097778,317.265564
0,0,2048,5,163.706039,260.628815,179.568390
0,0,2048,6,976.211548,1735.303223,994.095276
0,0,2048,7,-nan,-nan,-nan
0,1,8,2,22.648073,28.224340,0.048287
0,1,8,3,9.704481,12.144815,0.027346
0,1,8,4,6.040775,7.771036,0.056899
0,1,8,5,7.437960,11.520277,0.988310
0,1,8,6,348.088226,581.917358,56.680424
0,1,8,7,3633.163574,6074.083496,591.719849
0,1,16,2,60.168373,76.416794,0.099633
0,1,16,3,32.304695,40.001877,0.055238
0,1,16,4,27.981209,34.722710,0.054307
0,1,16,5,16.822252,23.049412,1.417090
0,1,16,6,108.729179,181.379608,17.646990
0,1,16,7,1756.775269,2940.041016,287.388794
0,1,32,2,74.270958,94.216621,0.174394
0,1,32,3,65.721634,82.388214,0.117296
0,1,32,4,59.148457,74.114128,0.090010
0,1,32,5,43.478058,55.368858,1.631742
0,1,32,6,128.188660,209.982986,19.951086
0,1,32,7,29866.054688,52327.949219,6249.746094
0,1,64,2,108.163475,139.338669,0.447864
0,1,64,3,84.125717,110.066841,0.222368
0,1,64,4,76.866600,100.617676,0.168764
0,1,64,5,69.833069,88.793579,2.004616
0,1,64,6,184.317291,298.979431,27.929577
0,1,64,7,50277.875000,85382.148438,8682.637695
0,1,128,2,153.126892,187.095154,4.533691
0,1,128,3,125.686188,157.073669,1.247410
0,1,128,4,115.176468,142.566956,1.186218
0,1,128,5,102.427124,130.633514,1.310314
0,1,128,6,123.899925,179.903671,12.848607
0,1,128,7,631.616089,1054.483643,102.265984
0,1,256,2,194.735977,239.233994,8.052992
0,1,256,3,163.776291,194.264206,4.620734
0,1,256,4,146.701721,176.193680,2.208612
0,1,256,5,134.717651,168.273026,2.608044
0,1,256,6,199.501404,300.637207,24.857422
0,1,256,7,1226.557251,2045.646606,198.713226
0,1,512,2,360.416992,444.174835,31.786303
0,1,512,3,231.996078,276.166534,11.253845
0,1,512,4,189.168762,229.889557,7.095397
0,1,512,5,170.749924,203.133133,6.154725
0,1,512,6,309.768372,482.078827,43.457119
0,1,512,7,185.150162,255.865005,17.620811
0,1,1024,2,607.178711,763.000916,77.949669
0,1,1024,3,433.336517,528.451721,35.212612
0,1,1024,4,317.229675,371.310547,15.508251
0,1,1024,5,276.026184,325.414703,15.408837
0,1,1024,6,243.135757,304.185577,14.815358
0,1,1024,7,255.155075,338.168121,20.880602
