cancion_id,instrumento,tamano_segmento,grado_polinomio,f_nota,f_volumen,f_dura
0,-1,8,2,33.149570,46.896622,0.063246
0,-1,8,3,13.747073,19.622217,0.029960
0,-1,8,4,9.734727,13.561113,0.073545
0,-1,8,5,11.278394,15.870833,1.292516
0,-1,8,6,476.909515,673.245422,74.126488
0,-1,8,7,4977.533203,7026.718750,773.850769
0,-1,16,2,39.099255,56.186192,0.123075
0,-1,16,3,36.341022,52.362419,0.066253
0,-1,16,4,35.259178,50.344307,0.062220
0,-1,16,5,24.938547,35.965775,1.853111
0,-1,16,6,149.209412,210.653809,23.079306
0,-1,16,7,2416.888916,3411.297852,375.843292
0,-1,32,2,45.101234,62.556797,0.288128
0,-1,32,3,41.886917,60.690674,0.138856
0,-1,32,4,38.102097,54.343021,0.106453
0,-1,32,5,39.738579,56.902802,2.133387
0,-1,32,6,171.582489,242.238358,26.092539
0,-1,32,7,45708.628906,64638.136719,8159.681641
0,-1,64,2,47.241089,70.425865,0.647258
0,-1,64,3,46.379688,66.418198,0.309556
0,-1,64,4,44.752113,63.986031,0.184385
0,-1,64,5,46.060455,67.369110,2.620612
0,-1,64,6,237.944260,335.972839,36.525009
0,-1,64,7,71987.789062,102367.992188,11348.290039
0,-1,128,2,77.934921,114.704422,6.621779
0,-1,128,3,49.390171,75.349266,1.737875
0,-1,128,4,48.794052,73.562943,1.631289
0,-1,128,5,47.650467,71.488365,1.731708
0,-1,128,6,117.377144,167.657623,16.809332
0,-1,128,7,859.516174,1216.253540,133.784210
0,-1,256,2,111.145081,161.146774,11.308929
0,-1,256,3,85.060051,126.916779,7.238462
0,-1,256,4,52.788780,84.504089,2.538086
0,-1,256,5,53.463943,83.381058,3.388364
0,-1,256,6,214.134933,303.986603,32.515251
0,-1,256,7,1668.077026,2356.059814,259.922028
0,-1,512,2,271.798950,381.797974,37.435139
0,-1,512,3,152.890472,219.852310,16.121052
0,-1,512,4,110.561638,163.287552,10.598456
0,-1,512,5,94.842964,139.943344,8.962405
0,-1,512,6,370.187531,524.016296,56.943218
0,-1,512,7,158.235718,226.869370,23.015184
0,-1,1024,2,541.222839,762.646118,86.406494
0,-1,1024,3,340.199951,478.246368,43.571617
0,-1,1024,4,233.250610,331.010254,24.122463
0,-1,1024,5,199.268921,283.211517,21.633951
0,-1,1024,6,184.687683,263.864563,21.131174
0,-1,1024,7,218.955032,311.575256,28.365097
0,-1,2048,2,661.283997,930.235229,108.450035
0,-1,2048,3,558.170105,785.738464,81.484642
0,-1,2048,4,513.704163,722.799438,66.726242
0,-1,2048,5,373.168488,527.389160,42.128979
0,-1,2048,6,382.861389,541.496277,48.633305
0,-1,2048,7,-nan,-nan,-nan
0,0,8,2,23.160864,41.555134,0.384897
0,0,8,3,10.805498,18.663183,0.180792
0,0,8,4,6.263113,10.928937,1.801994
0,0,8,5,32.638210,58.250759,32.766014
0,0,8,6,1852.835571,3307.187744,1879.231812
0,0,8,7,19342.470703,34525.003906,19618.416016
0,0,16,2,31.092928,56.152065,1.114101
0,0,16,3,27.346119,46.700260,0.465288
0,0,16,4,23.765215,39.218044,1.235293
0,0,16,5,49.436657,87.168427,46.973980
0,0,16,6,576.943359,1029.831543,585.095520
0,0,16,7,9396.187500,16772.925781,9528.276367
0,0,32,2,44.788998,77.743820,1.723828
0,0,32,3,36.909897,64.483200,1.097437
0,0,32,4,35.443695,62.339283,1.355207
0,0,32,5,61.545502,107.965683,54.062897
0,0,32,6,652.629089,1165.042114,661.481995
0,0,32,7,201697.234375,359477.781250,207060.875000
0,0,64,2,60.925213,103.122787,8.956126
0,0,64,3,46.451050,84.570869,2.855409
0,0,64,4,43.696976,79.271873,2.628667
0,0,64,5,76.832550,138.236649,66.343788
0,0,64,6,913.515686,1630.756470,926.016968
0,0,64,7,285269.093750,509875.843750,287770.093750
0,0,128,2,83.308220,136.293579,30.994406
0,0,128,3,67.844513,114.400032,12.500317
0,0,128,4,63.794128,109.994644,9.937880
0,0,128,5,61.662769,112.049591,38.339947
0,0,128,6,422.423706,754.370789,425.710846
0,0,128,7,3344.615479,5969.562988,3391.809082
0,0,256,2,108.252335,177.247147,66.841805
0,0,256,3,90.924461,149.138550,38.437981
0,0,256,4,81.997948,134.860214,22.207066
0,0,256,5,101.244476,174.113617,70.176048
0,0,256,6,814.815063,1453.863525,823.465515
0,0,256,7,6499.012695,11600.124023,6592.235352
0,0,512,2,176.625336,287.750183,159.515381
0,0,512,3,123.735695,200.983383,88.902061
0,0,512,4,102.058250,165.725159,56.461239
0,0,512,5,120.250031,203.190475,87.727386
0,0,512,6,1420.571655,2531.540283,1436.846191
0,0,512,7,569.732666,1014.827148,572.242188
0,0,1024,2,257.063660,412.174469,325.863556
0,0,1024,3,168.200363,269.879059,178.490936
0,0,1024,4,137.167557,220.323654,119.753815
0,0,1024,5,130.330551,213.243622,105.850021
0,0,1024,6,346.469543,612.682068,341.670532
0,0,1024,7,589.939819,1049.714722,593.134583
0,0,2048,2,383.663208,671.033264,898.736877
0,0,2048,3,271.088898,440.142609,398.789215
0,0,2048,4,215.155289,350.097778,317.265442
0,0,2048,5,163.754929,260.628815,179.570908
0,0,2048,6,977.357544,1735.303223,990.208435
0,0,2048,7,-nan,-nan,-nan
0,1,8,2,22.648073,28.224340,0.048288
0,1,8,3,9.704487,12.144815,0.027347
0,1,8,4,6.040779,7.771036,0.057036
0,1,8,5,7.438509,11.520277,0.991090
0,1,8,6,348.122894,581.917358,56.839123
0,1,8,7,3633.516113,6074.083496,593.380127
0,1,16,2,60.168373,76.416794,0.099625
0,1,16,3,32.304703,40.001877,0.055237
0,1,16,4,27.981215,34.722710,0.054375
0,1,16,5,16.822708,23.049412,1.421072
0,1,16,6,108.740067,181.379608,17.697594
0,1,16,7,1756.955078,2940.041016,288.194519
0,1,32,2,74.270958,94.216621,0.174380
0,1,32,3,65.721634,82.388214,0.117287
0,1,32,4,59.148460,74.114128,0.090046
0,1,32,5,43.478218,55.368858,1.636319
0,1,32,6,128.199921,209.982986,20.007048
0,1,32,7,29868.892578,52327.949219,6267.341309
0,1,64,2,108.163475,139.338669,0.447854
0,1,64,3,84.125717,110.066841,0.222353
0,1,64,4,76.866600,100.617676,0.168801
0,1,64,5,69.833160,88.793579,2.010196
0,1,64,6,184.330643,298.979431,28.009083
0,1,64,7,50282.632812,85382.148438,8706.904297
0,1,128,2,153.126892,187.095154,4.533638
0,1,128,3,125.686180,157.073669,1.247396
0,1,128,4,115.176476,142.566956,1.186200
0,1,128,5,102.427162,130.633514,1.312853
0,1,128,6,123.912193,179.903671,12.885554
0,1,128,7,631.684631,1054.483643,102.553764
0,1,256,2,194.735992,239.233994,8.052860
0,1,256,3,163.776291,194.264206,4.620688
0,1,256,4,146.701721,176.193680,2.208615
0,1,256,5,134.717712,168.273026,2.612858
0,1,256,6,199.516571,300.637207,24.926762
0,1,256,7,1226.616943,2045.646606,199.263367
0,1,512,2,360.416962,444.174835,31.786156
0,1,512,3,231.996109,276.166534,11.253509
0,1,512,4,189.168808,229.889557,7.095304
0,1,512,5,170.750473,203.133133,6.156338
0,1,512,6,309.728607,482.078827,43.603939
0,1,512,7,185.169891,255.865005,17.671705
0,1,1024,2,607.178711,763.000916,77.948997
0,1,1024,3,433.336548,528.451721,35.212395
0,1,1024,4,317.229706,371.310547,15.507947
0,1,1024,5,276.026154,325.414703,15.408587
0,1,1024,6,243.135300,304.185577,14.838356
0,1,1024,7,255.168854,338.168121,20.912378
0,1,2048,2,803.647827,966.747437,105.406761
0,1,2048,3,589.158203,790.168274,75.010696
0,1,2048,4,542.518433,723.615479,49.187946
0,1,2048,5,416.824005,541.789001,25.864029
0,1,2048,6,391.530823,505.485870,33.936729
0,1,2048,7,-nan,-nan,-nan
0,33,8,2,6.097788,19.183783,0.061959
0,33,8,3,3.069732,9.753777,0.033297
0,33,8,4,1.835367,5.858114,0.054778
0,33,8,5,4.077934,18.751387,0.932192
0,33,8,6,223.300751,1052.837891,53.459816
0,33,8,7,2331.071045,10990.883789,558.100708
0,33,16,2,30.363390,97.315132,0.165024
0,33,16,3,10.225487,32.405273,0.075620
0,33,16,4,8.328944,26.411390,0.067144
0,33,16,5,7.436642,30.602442,1.336758
0,33,16,6,69.634712,328.038696,16.644690
0,33,16,7,1132.940308,5340.782715,271.054199
0,33,32,2,48.678658,157.352341,0.679515
