instrumento,nota,volumen,dura,empieza,termina
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,-1.0,0.0,1.358331975,0.0,1.358331975
-1.0,70.0,108.0,0.08333325000000014,1.358331975,1.4416652250000002
-1.0,70.0,108.0,0.08333325000000014,1.358331975,1.4416652250000002
-1.0,70.0,108.0,0.08333325000000014,1.358331975,1.4416652250000002
-1.0,70.0,108.0,0.08333325000000014,1.358331975,1.4416652250000002
-1.0,60.0,75.0,0.08333325000000014,1.369443075,1.452776325
-1.0,-1.0,0.0,0.04722217499999992,1.458331875,1.50555405
-1.0,-1.0,0.0,0.04722217499999992,1.458331875,1.50555405
-1.0,70.0,108.0,0.08333325000000014,1.50555405,1.5888873000000001
-1.0,70.0,108.0,0.08333325000000014,1.50555405,1.5888873000000001
-1.0,70.0,108.0,0.08333325000000014,1.50555405,1.5888873000000001
-1.0,70.0,108.0,0.08333325000000014,1.50555405,1.5888873000000001
-1.0,62.0,127.0,0.08333325000000014,1.5333318,1.6166650500000002
-1.0,62.0,127.0,0.08333325000000014,1.5333318,1.6166650500000002
-1.0,-1.0,0.0,0.06388882499999982,1.6166650500000002,1.680553875
-1.0,-1.0,0.0,0.06388882499999982,1.6166650500000002,1.680553875
-1.0,-1.0,0.0,0.06388882499999982,1.6166650500000002,1.680553875
-1.0,70.0,108.0,0.08333325000000014,1.680553875,1.7638871250000001
-1.0,70.0,108.0,0.08333325000000014,1.680553875,1.7638871250000001
-1.0,70.0,108.0,0.08333325000000014,1.680553875,1.7638871250000001
-1.0,70.0,108.0,0.08333325000000014,1.680553875,1.7638871250000001
-1.0,-1.0,0.0,0.05555550000000009,1.777776,1.8333315000000001
-1.0,-1.0,0.0,0.05555550000000009,1.777776,1.8333315000000001
-1.0,-1.0,0.0,0.05555550000000009,1.777776,1.8333315000000001
-1.0,62.0,127.0,0.08333324999999991,1.8333315000000001,1.91666475
-1.0,62.0,127.0,0.08333324999999991,1.8333315000000001,1.91666475
-1.0,62.0,127.0,0.08333324999999991,1.8333315000000001,1.91666475
-1.0,62.0,127.0,0.08333324999999991,1.8333315000000001,1.91666475
-1.0,-1.0,0.0,0.09444435000000007,1.9222203,2.01666465
-1.0,-1.0,0.0,0.09444435000000007,1.9222203,2.01666465
-1.0,-1.0,0.0,0.09444435000000007,1.9222203,2.01666465
-1.0,-1.0,0.0,0.09444435000000007,1.9222203,2.01666465
-1.0,-1.0,0.0,0.09444435000000007,1.9222203,2.01666465
-1.0,62.0,127.0,0.08333324999999991,2.01666465,2.0999979
-1.0,62.0,127.0,0.08333324999999991,2.01666465,2.0999979
-1.0,62.0,127.0,0.08333324999999991,2.01666465,2.0999979
-1.0,62.0,127.0,0.08333324999999991,2.01666465,2.0999979
-1.0,60.0,75.0,0.08333325000000036,2.03888685,2.1222201000000003
-1.0,-1.0,0.0,0.04166662499999996,2.1222201000000003,2.1638867250000002
-1.0,-1.0,0.0,0.04166662499999996,2.1222201000000003,2.1638867250000002
-1.0,62.0,127.0,0.08333324999999991,2.1638867250000002,2.247219975
-1.0,62.0,127.0,0.08333324999999991,2.1638867250000002,2.247219975
-1.0,62.0,127.0,0.08333324999999991,2.1638867250000002,2.247219975
-1.0,62.0,127.0,0.08333324999999991,2.1638867250000002,2.247219975
-1.0,-1.0,0.0,0.09166657499999964,2.2555533000000003,2.347219875
-1.0,-1.0,0.0,0.09166657499999964,2.2555533000000003,2.347219875
-1.0,-1.0,0.0,0.09166657499999964,2.2555533000000003,2.347219875
-1.0,-1.0,0.0,0.09166657499999964,2.2555533000000003,2.347219875
-1.0,-1.0,0.0,0.09166657499999964,2.2555533000000003,2.347219875
-1.0,63.0,127.0,0.08333325000000036,2.347219875,2.4305531250000003
-1.0,63.0,127.0,0.08333325000000036,2.347219875,2.4305531250000003
